month,iday,Day_type,cday
01,01,5,vie
01,02,6,sab
01,03,7,dom
01,04,1,lun
01,05,2,mar
01,06,3,mie
01,07,4,jue
01,08,5,vie
01,09,6,sab
01,10,7,dom
01,11,1,lun
01,12,2,mar
01,13,3,mie
01,14,4,jue
01,15,5,vie
01,16,6,sab
01,17,7,dom
01,18,1,lun
01,19,2,mar
01,20,3,mie
01,21,4,jue
01,22,5,vie
01,23,6,sab
01,24,7,dom
01,25,1,lun
01,26,2,mar
01,27,3,mie
01,28,4,jue
01,29,5,vie
01,30,6,sab
01,31,7,dom
02,01,1,lun
02,02,2,mar
02,03,3,mie
02,04,4,jue
02,05,5,vie
02,06,6,sab
02,07,7,dom
02,08,1,lun
02,09,2,mar
02,10,3,mie
02,11,4,jue
02,12,5,vie
02,13,6,sab
02,14,7,dom
02,15,1,lun
02,16,2,mar
02,17,3,mie
02,18,4,jue
02,19,5,vie
02,20,6,sab
02,21,7,dom
02,22,1,lun
02,23,2,mar
02,24,3,mie
02,25,4,jue
02,26,5,vie
02,27,6,sab
02,28,7,dom
02,29,1,lun
03,01,2,mar
03,02,3,mie
03,03,4,jue
03,04,5,vie
03,05,6,sab
03,06,7,dom
03,07,1,lun
03,08,2,mar
03,09,3,mie
03,10,4,jue
03,11,5,vie
03,12,6,sab
03,13,7,dom
03,14,1,lun
03,15,2,mar
03,16,3,mie
03,17,4,jue
03,18,5,vie
03,19,6,sab
03,20,7,dom
03,21,1,lun
03,22,2,mar
03,23,3,mie
03,24,4,jue
03,25,5,vie
03,26,6,sab
03,27,7,dom
03,28,1,lun
03,29,2,mar
03,30,3,mie
03,31,4,jue
04,01,5,vie
04,02,6,sab
04,03,7,dom
04,04,1,lun
04,05,2,mar
04,06,3,mie
04,07,4,jue
04,08,5,vie
04,09,6,sab
04,10,7,dom
04,11,1,lun
04,12,2,mar
04,13,3,mie
04,14,4,jue
04,15,5,vie
04,16,6,sab
04,17,7,dom
04,18,1,lun
04,19,2,mar
04,20,3,mie
04,21,4,jue
04,22,5,vie
04,23,6,sab
04,24,7,dom
04,25,1,lun
04,26,2,mar
04,27,3,mie
04,28,4,jue
04,29,5,vie
04,30,6,sab
05,01,7,dom
05,02,1,lun
05,03,2,mar
05,04,3,mie
05,05,4,jue
05,06,5,vie
05,07,6,sab
05,08,7,dom
05,09,1,lun
05,10,2,mar
05,11,3,mie
05,12,4,jue
05,13,5,vie
05,14,6,sab
05,15,7,dom
05,16,1,lun
05,17,2,mar
05,18,3,mie
05,19,4,jue
05,20,5,vie
05,21,6,sab
05,22,7,dom
05,23,1,lun
05,24,2,mar
05,25,3,mie
05,26,4,jue
05,27,5,vie
05,28,6,sab
05,29,7,dom
05,30,1,lun
05,31,2,mar
06,01,3,mie
06,02,4,jue
06,03,5,vie
06,04,6,sab
06,05,7,dom
06,06,1,lun
06,07,2,mar
06,08,3,mie
06,09,4,jue
06,10,5,vie
06,11,6,sab
06,12,7,dom
06,13,1,lun
06,14,2,mar
06,15,3,mie
06,16,4,jue
06,17,5,vie
06,18,6,sab
06,19,7,dom
06,20,1,lun
06,21,2,mar
06,22,3,mie
06,23,4,jue
06,24,5,vie
06,25,6,sab
06,26,7,dom
06,27,1,lun
06,28,2,mar
06,29,3,mie
06,30,4,jue
07,01,5,vie
07,02,6,sab
07,03,7,dom
07,04,1,lun
07,05,2,mar
07,06,3,mie
07,07,4,jue
07,08,5,vie
07,09,6,sab
07,10,7,dom
07,11,1,lun
07,12,2,mar
07,13,3,mie
07,14,4,jue
07,15,5,vie
07,16,6,sab
07,17,7,dom
07,18,1,lun
07,19,2,mar
07,20,3,mie
07,21,4,jue
07,22,5,vie
07,23,6,sab
07,24,7,dom
07,25,1,lun
07,26,2,mar
07,27,3,mie
07,28,4,jue
07,29,5,vie
07,30,6,sab
07,31,7,dom
08,01,1,lun
08,02,2,mar
08,03,3,mie
08,04,4,jue
08,05,5,vie
08,06,6,sab
08,07,7,dom
08,08,1,lun
08,09,2,mar
08,10,3,mie
08,11,4,jue
08,12,5,vie
08,13,6,sab
08,14,7,dom
08,15,1,lun
08,16,2,mar
