month,iday,Day_type,cday
12,20,7,dom
12,21,1,lun
12,22,2,mar
12,23,3,mie
12,24,4,jue
12,25,5,vie
12,26,6,sab
12,27,7,dom
12,28,1,lun
12,29,2,mar
12,30,3,mie
12,31,4,jue
