month,iday,Day_type,cday
7,27,6,sab
7,28,7,dom
7,29,1,lun
7,30,2,mar
7,31,3,mie
8,1,4,jue
8,2,5,vie
8,3,6,sab
8,4,7,dom
8,5,1,lun
8,6,2,mar
8,7,3,mie
8,8,4,jue
8,9,5,vie
8,10,6,sab
8,11,7,dom
8,12,1,lun
8,13,2,mar
8,14,3,mie
8,15,4,jue
8,16,5,vie
8,17,6,sab
8,18,7,dom
8,19,1,lun
8,20,2,mar
8,21,3,mie
8,22,4,jue
8,23,5,vie
8,24,6,sab
8,25,7,dom
8,26,1,lun
8,27,2,mar
8,28,3,mie
8,29,4,jue
8,30,5,vie
8,31,6,sab
9,1,7,dom
9,2,1,lun
9,3,2,mar
9,4,3,mie
9,5,4,jue
9,6,5,vie
9,7,6,sab
9,8,7,dom
9,9,1,lun
9,10,2,mar
9,11,3,mie
9,12,4,jue
9,13,5,vie
9,14,6,sab
9,15,7,dom
9,16,1,lun
9,17,2,mar
9,18,3,mie
9,19,4,jue
9,20,5,vie
9,21,6,sab
9,22,7,dom
9,23,1,lun
9,24,2,mar
9,25,3,mie
9,26,4,jue
9,27,5,vie
9,28,6,sab
9,29,7,dom
9,30,1,lun
10,1,2,mar
10,2,3,mie
10,3,4,jue
10,4,5,vie
10,5,6,sab
10,6,7,dom
10,7,1,lun
10,8,2,mar
10,9,3,mie
10,10,4,jue
10,11,5,vie
10,12,6,sab
10,13,7,dom
10,14,1,lun
10,15,2,mar
10,16,3,mie
10,17,4,jue
10,18,5,vie
10,19,6,sab
10,20,7,dom
10,21,1,lun
10,22,2,mar
10,23,3,mie
10,24,4,jue
10,25,5,vie
10,26,6,sab
10,27,7,dom
10,28,1,lun
10,29,2,mar
10,30,3,mie
10,31,4,jue
11,1,5,vie
11,2,6,sab
11,3,7,dom
11,4,1,lun
11,5,2,mar
11,6,3,mie
11,7,4,jue
11,8,5,vie
11,9,6,sab
11,10,7,dom
11,11,1,lun
11,12,2,mar
11,13,3,mie
11,14,4,jue
11,15,5,vie
11,16,6,sab
11,17,7,dom
11,18,1,lun
11,19,2,mar
11,20,3,mie
11,21,4,jue
11,22,5,vie
11,23,6,sab
11,24,7,dom
11,25,1,lun
11,26,2,mar
11,27,3,mie
11,28,4,jue
11,29,5,vie
11,30,6,sab
12,1,7,dom
12,2,1,lun
12,3,2,mar
12,4,3,mie
12,5,4,jue
12,6,5,vie
12,7,6,sab
12,8,7,dom
12,9,1,lun
12,10,2,mar
12,11,3,mie
12,12,4,jue
12,13,5,vie
12,14,6,sab
12,15,7,dom
12,16,1,lun
12,17,2,mar
12,18,3,mie
12,19,4,jue
12,20,5,vie
12,21,6,sab
12,22,7,dom
12,23,1,lun
12,24,2,mar
12,25,3,mie
12,26,4,jue
12,27,5,vie
12,28,6,sab
12,29,7,dom
12,30,1,lun
12,31,2,mar
,,,
