month,iday,Day_type,cday
1,1,1,lun
1,2,2,mar
1,3,3,mie
1,4,4,jue
1,5,5,vie
1,6,6,sab
1,7,7,dom
1,8,1,lun
1,9,2,mar
1,10,3,mie
1,11,4,jue
1,12,5,vie
1,13,6,sab
1,14,7,dom
1,15,1,lun
1,16,2,mar
1,17,3,mie
1,18,4,jue
1,19,5,vie
1,20,6,sab
1,21,7,dom
1,22,1,lun
1,23,2,mar
1,24,3,mie
1,25,4,jue
1,26,5,vie
1,27,6,sab
1,28,7,dom
1,29,1,lun
1,30,2,mar
1,31,3,mie
2,1,4,jue
2,2,5,vie
2,3,6,sab
2,4,7,dom
2,5,1,lun
2,6,2,mar
2,7,3,mie
2,8,4,jue
2,9,5,vie
2,10,6,sab
2,11,7,dom
2,12,1,lun
2,13,2,mar
2,14,3,mie
2,15,4,jue
2,16,5,vie
2,17,6,sab
2,18,7,dom
2,19,1,lun
2,20,2,mar
2,21,3,mie
2,22,4,jue
2,23,5,vie
2,24,6,sab
2,25,7,dom
2,26,1,lun
2,27,2,mar
2,28,3,mie
3,1,4,jue
3,2,5,vie
3,3,6,sab
3,4,7,dom
3,5,1,lun
3,6,2,mar
3,7,3,mie
3,8,4,jue
3,9,5,vie
3,10,6,sab
3,11,7,dom
3,12,1,lun
3,13,2,mar
3,14,3,mie
3,15,4,jue
3,16,5,vie
3,17,6,sab
3,18,7,dom
3,19,1,lun
3,20,2,mar
3,21,3,mie
3,22,4,jue
3,23,5,vie
3,24,6,sab
3,25,7,dom
3,26,1,lun
3,27,2,mar
3,28,3,mie
3,29,4,jue
3,30,5,vie
3,31,6,sab
4,1,7,dom
4,2,1,lun
4,3,2,mar
4,4,3,mie
4,5,4,jue
4,6,5,vie
4,7,6,sab
4,8,7,dom
4,9,1,lun
4,10,2,mar
4,11,3,mie
4,12,4,jue
4,13,5,vie
4,14,6,sab
4,15,7,dom
4,16,1,lun
4,17,2,mar
4,18,3,mie
4,19,4,jue
4,20,5,vie
4,21,6,sab
4,22,7,dom
4,23,1,lun
4,24,2,mar
4,25,3,mie
4,26,4,jue
4,27,5,vie
4,28,6,sab
4,29,7,dom
4,30,1,lun
5,1,2,mar
5,2,3,mie
5,3,4,jue
5,4,5,vie
5,5,6,sab
5,6,7,dom
5,7,1,lun
5,8,2,mar
5,9,3,mie
5,10,4,jue
5,11,5,vie
5,12,6,sab
5,13,7,dom
5,14,1,lun
5,15,2,mar
5,16,3,mie
5,17,4,jue
5,18,5,vie
5,19,6,sab
5,20,7,dom
5,21,1,lun
5,22,2,mar
5,23,3,mie
5,24,4,jue
5,25,5,vie
5,26,6,sab
5,27,7,dom
5,28,1,lun
5,29,2,mar
5,30,3,mie
5,31,4,jue
6,1,5,vie
6,2,6,sab
6,3,7,dom
6,4,1,lun
6,5,2,mar
6,6,3,mie
6,7,4,jue
6,8,5,vie
6,9,6,sab
6,10,7,dom
6,11,1,lun
6,12,2,mar
6,13,3,mie
6,14,4,jue
6,15,5,vie
6,16,6,sab
6,17,7,dom
6,18,1,lun
6,19,2,mar
6,20,3,mie
6,21,4,jue
6,22,5,vie
6,23,6,sab
6,24,7,dom
6,25,1,lun
6,26,2,mar
6,27,3,mie
6,28,4,jue
6,29,5,vie
6,30,6,sab
7,1,7,dom
7,2,1,lun
7,3,2,mar
7,4,3,mie
7,5,4,jue
7,6,5,vie
7,7,6,sab
7,8,7,dom
7,9,1,lun
7,10,2,mar
7,11,3,mie
7,12,4,jue
7,13,5,vie
7,14,6,sab
7,15,7,dom
7,16,1,lun
7,17,2,mar
7,18,3,mie
7,19,4,jue
7,20,5,vie
7,21,6,sab
7,22,7,dom
7,23,1,lun
7,24,2,mar
7,25,3,mie
7,26,4,jue
7,27,5,vie
7,28,6,sab
7,29,7,dom
7,30,1,lun
7,31,2,mar
8,1,3,mie
8,2,4,jue
8,3,5,vie
8,4,6,sab
8,5,7,dom
8,6,1,lun
8,7,2,mar
8,8,3,mie
8,9,4,jue
8,10,5,vie
8,11,6,sab
8,12,7,dom
8,13,1,lun
8,14,2,mar
8,15,3,mie
8,16,4,jue
8,17,5,vie
8,18,6,sab
8,19,7,dom
8,20,1,lun
8,21,2,mar
8,22,3,mie
8,23,4,jue
8,24,5,vie
8,25,6,sab
8,26,7,dom
8,27,1,lun
8,28,2,mar
8,29,3,mie
8,30,4,jue
8,31,5,vie
9,1,6,sab
9,2,7,dom
9,3,1,lun
9,4,2,mar
9,5,3,mie
9,6,4,jue
9,7,5,vie
9,8,6,sab
9,9,7,dom
9,10,1,lun
9,11,2,mar
9,12,3,mie
9,13,4,jue
9,14,5,vie
9,15,6,sab
9,16,7,dom
9,17,1,lun
9,18,2,mar
9,19,3,mie
9,20,4,jue
9,21,5,vie
9,22,6,sab
9,23,7,dom
9,24,1,lun
9,25,2,mar
9,26,3,mie
9,27,4,jue
9,28,5,vie
9,29,6,sab
9,30,7,dom
10,1,1,lun
10,2,2,mar
10,3,3,mie
10,4,4,jue
10,5,5,vie
10,6,6,sab
10,7,7,dom
10,8,1,lun
10,9,2,mar
10,10,3,mie
10,11,4,jue
10,12,5,vie
10,13,6,sab
10,14,7,dom
10,15,1,lun
10,16,2,mar
10,17,3,mie
10,18,4,jue
10,19,5,vie
10,20,6,sab
10,21,7,dom
10,22,1,lun
10,23,2,mar
10,24,3,mie
10,25,4,jue
10,26,5,vie
10,27,6,sab
10,28,7,dom
10,29,1,lun
10,30,2,mar
10,31,3,mie
11,1,4,jue
11,2,5,vie
11,3,6,sab
11,4,7,dom
11,5,1,lun
11,6,2,mar
11,7,3,mie
11,8,4,jue
11,9,5,vie
11,10,6,sab
11,11,7,dom
11,12,1,lun
11,13,2,mar
11,14,3,mie
11,15,4,jue
11,16,5,vie
11,17,6,sab
11,18,7,dom
11,19,1,lun
11,20,2,mar
11,21,3,mie
11,22,4,jue
11,23,5,vie
11,24,6,sab
11,25,7,dom
11,26,1,lun
11,27,2,mar
11,28,3,mie
11,29,4,jue
11,30,5,vie
12,1,6,sab
12,2,7,dom
12,3,1,lun
12,4,2,mar
12,5,3,mie
12,6,4,jue
12,7,5,vie
12,8,6,sab
12,9,7,dom
12,10,1,lun
12,11,2,mar
12,12,3,mie
12,13,4,jue
12,14,5,vie
12,15,6,sab
12,16,7,dom
12,17,1,lun
12,18,2,mar
12,19,3,mie
12,20,4,jue
12,21,5,vie
12,22,6,sab
12,23,7,dom
12,24,1,lun
12,25,2,mar
12,26,3,mie
12,27,4,jue
12,28,5,vie
12,29,6,sab
12,30,7,dom
12,31,1,lun
1,1,2,mar
1,2,3,mie
1,3,4,jue
