 GRIDCODE,CVIDE,Fa,USs4ginMUNICIPIO (m2)
       29470 ,        1001 ,   3.36249638E-03 ,   583472192.    
       29471 ,        1001 ,   6.43737838E-02 ,   583472192.    
       29472 ,        1001 ,   5.54735400E-02 ,   583472192.    
       29473 ,        1001 ,   8.08714321E-06 ,   583472192.    
       29822 ,        1001 ,   2.84259655E-02 ,   583472192.    
       29823 ,        1001 ,   9.37706679E-02 ,   583472192.    
       29824 ,        1001 ,  0.107015029     ,   583472192.    
       29825 ,        1001 ,  0.109439604     ,   583472192.    
       29826 ,        1001 ,   2.03456301E-02 ,   583472192.    
       29827 ,        1001 ,   5.14466576E-02 ,   583472192.    
       30175 ,        1001 ,   5.06729679E-03 ,   583472192.    
       30176 ,        1001 ,   1.55717311E-02 ,   583472192.    
       30177 ,        1001 ,   7.61656314E-02 ,   583472192.    
       30178 ,        1001 ,  0.108783245     ,   583472192.    
       30179 ,        1001 ,   2.63782181E-02 ,   583472192.    
       30180 ,        1001 ,   3.96145731E-02 ,   583472192.    
       30181 ,        1001 ,   2.88862665E-03 ,   583472192.    
       30529 ,        1001 ,   0.00000000     ,   583472192.    
       30530 ,        1001 ,   5.59651889E-02 ,   583472192.    
       30531 ,        1001 ,   2.98961978E-02 ,   583472192.    
       30532 ,        1001 ,   9.23441257E-03 ,   583472192.    
       30533 ,        1001 ,   8.79801437E-03 ,   583472192.    
       30883 ,        1001 ,   3.63162508E-05 ,   583472192.    
       30884 ,        1001 ,   6.58681802E-03 ,   583472192.    
       30885 ,        1001 ,   2.48432495E-02 ,   583472192.    
       30886 ,        1001 ,   4.31283563E-02 ,   583472192.    
       30887 ,        1001 ,   2.37662392E-03 ,   583472192.    
       31238 ,        1001 ,   2.03107502E-05 ,   583472192.    
       31239 ,        1001 ,   1.09837558E-02 ,   583472192.    
       30887 ,        1002 ,   0.00000000     ,   389657856.    
       30888 ,        1002 ,   2.14519501E-02 ,   389657856.    
       30889 ,        1002 ,   1.76099520E-02 ,   389657856.    
       31238 ,        1002 ,   7.85056315E-03 ,   389657856.    
       31239 ,        1002 ,   6.79072440E-02 ,   389657856.    
       31240 ,        1002 ,   9.94083211E-02 ,   389657856.    
       31241 ,        1002 ,  0.156278744     ,   389657856.    
       31242 ,        1002 ,   4.65874039E-02 ,   389657856.    
       31591 ,        1002 ,   1.99268702E-02 ,   389657856.    
       31592 ,        1002 ,  0.146179527     ,   389657856.    
       31593 ,        1002 ,  0.153218299     ,   389657856.    
       31594 ,        1002 ,   1.13371070E-02 ,   389657856.    
       31945 ,        1002 ,   2.33745389E-02 ,   389657856.    
       31946 ,        1002 ,  0.154423907     ,   389657856.    
       32298 ,        1002 ,   2.46188678E-02 ,   389657856.    
       32299 ,        1002 ,   4.98267189E-02 ,   389657856.    
       29819 ,        1003 ,   9.01885703E-03 ,   198798816.    
       29820 ,        1003 ,   3.27303521E-02 ,   198798816.    
       29821 ,        1003 ,   0.00000000     ,   198798816.    
       29822 ,        1003 ,   0.00000000     ,   198798816.    
       30171 ,        1003 ,   0.00000000     ,   198798816.    
       30172 ,        1003 ,   8.79385620E-02 ,   198798816.    
       30173 ,        1003 ,  0.314632028     ,   198798816.    
       30174 ,        1003 ,   1.43174333E-02 ,   198798816.    
       30175 ,        1003 ,   0.00000000     ,   198798816.    
       30524 ,        1003 ,   0.00000000     ,   198798816.    
       30525 ,        1003 ,   2.29898635E-02 ,   198798816.    
       30526 ,        1003 ,  0.306893259     ,   198798816.    
       30527 ,        1003 ,  0.106600203     ,   198798816.    
       30528 ,        1003 ,   0.00000000     ,   198798816.    
       30878 ,        1003 ,   0.00000000     ,   198798816.    
       30879 ,        1003 ,   3.18980254E-02 ,   198798816.    
       30880 ,        1003 ,   7.29814246E-02 ,   198798816.    
       30881 ,        1003 ,   0.00000000     ,   198798816.    
       31231 ,        1003 ,   0.00000000     ,   198798816.    
       31232 ,        1003 ,   0.00000000     ,   198798816.    
       31233 ,        1003 ,   0.00000000     ,   198798816.    
       31234 ,        1003 ,   0.00000000     ,   198798816.    
       31585 ,        1003 ,   0.00000000     ,   198798816.    
       31586 ,        1003 ,   0.00000000     ,   198798816.    
       32295 ,        1004 ,   0.00000000     ,   90159328.0    
       32296 ,        1004 ,  0.306337029     ,   90159328.0    
       32297 ,        1004 ,   5.24497181E-02 ,   90159328.0    
       32648 ,        1004 ,   2.32116366E-03 ,   90159328.0    
       32649 ,        1004 ,  0.523176432     ,   90159328.0    
       32650 ,        1004 ,   4.21878695E-02 ,   90159328.0    
       33002 ,        1004 ,   7.35278279E-02 ,   90159328.0    
       30175 ,        1005 ,   5.17227240E-02 ,   147649680.    
       30176 ,        1005 ,   7.59198796E-03 ,   147649680.    
       30528 ,        1005 ,   5.12824021E-02 ,   147649680.    
       30529 ,        1005 ,  0.180256546     ,   147649680.    
       30530 ,        1005 ,   7.02537522E-02 ,   147649680.    
       30531 ,        1005 ,   1.87416887E-03 ,   147649680.    
       30881 ,        1005 ,   2.55489107E-02 ,   147649680.    
       30882 ,        1005 ,   0.00000000     ,   147649680.    
       30883 ,        1005 ,  0.160239488     ,   147649680.    
       30884 ,        1005 ,  0.368574619     ,   147649680.    
       31236 ,        1005 ,   1.90919137E-03 ,   147649680.    
       31237 ,        1005 ,   8.07461739E-02 ,   147649680.    
       31236 ,        1006 ,   0.00000000     ,   127712088.    
       31237 ,        1006 ,  0.271883607     ,   127712088.    
       31238 ,        1006 ,   4.14716117E-02 ,   127712088.    
       31589 ,        1006 ,   1.24894436E-02 ,   127712088.    
       31590 ,        1006 ,  0.405611485     ,   127712088.    
       31591 ,        1006 ,  0.267385691     ,   127712088.    
       31943 ,        1006 ,   5.87297021E-04 ,   127712088.    
       31944 ,        1006 ,   5.70848235E-04 ,   127712088.    
       31589 ,        1007 ,   3.34303789E-02 ,   192282768.    
       31590 ,        1007 ,  0.125269234     ,   192282768.    
       31941 ,        1007 ,   1.01191872E-04 ,   192282768.    
       31942 ,        1007 ,   5.19407801E-02 ,   192282768.    
       31943 ,        1007 ,  0.323805064     ,   192282768.    
       31944 ,        1007 ,   5.87343297E-04 ,   192282768.    
       32294 ,        1007 ,   0.00000000     ,   192282768.    
       32295 ,        1007 ,   5.29519618E-02 ,   192282768.    
