 GRIDCODE,CVIDE,Fv,USs4ginMUNICIPIO (m2)
       29470 ,        1001 ,   5.03704511E-03 ,   503040480.    
       29471 ,        1001 ,   1.56333204E-03 ,   503040480.    
       29472 ,        1001 ,   2.67910250E-02 ,   503040480.    
       29473 ,        1001 ,   2.90316455E-02 ,   503040480.    
       29822 ,        1001 ,   9.02206451E-03 ,   503040480.    
       29823 ,        1001 ,   2.91174147E-02 ,   503040480.    
       29824 ,        1001 ,   3.58256027E-02 ,   503040480.    
       29825 ,        1001 ,   3.16523723E-02 ,   503040480.    
       29826 ,        1001 ,  0.134216890     ,   503040480.    
       29827 ,        1001 ,   1.87192876E-02 ,   503040480.    
       30175 ,        1001 ,   1.53860571E-02 ,   503040480.    
       30176 ,        1001 ,   7.83110037E-02 ,   503040480.    
       30177 ,        1001 ,   6.72473386E-02 ,   503040480.    
       30178 ,        1001 ,   1.26172202E-02 ,   503040480.    
       30179 ,        1001 ,  0.127253234     ,   503040480.    
       30180 ,        1001 ,   4.99665178E-03 ,   503040480.    
       30181 ,        1001 ,   0.00000000     ,   503040480.    
       30529 ,        1001 ,   5.62200905E-04 ,   503040480.    
       30530 ,        1001 ,   2.74717826E-02 ,   503040480.    
       30531 ,        1001 ,   1.49311116E-02 ,   503040480.    
       30532 ,        1001 ,  0.136756644     ,   503040480.    
       30533 ,        1001 ,   1.49260066E-03 ,   503040480.    
       30883 ,        1001 ,   0.00000000     ,   503040480.    
       30884 ,        1001 ,   7.10878149E-03 ,   503040480.    
       30885 ,        1001 ,   8.08684230E-02 ,   503040480.    
       30886 ,        1001 ,   5.38522229E-02 ,   503040480.    
       30887 ,        1001 ,   0.00000000     ,   503040480.    
       31238 ,        1001 ,   2.05571223E-02 ,   503040480.    
       31239 ,        1001 ,   2.96108946E-02 ,   503040480.    
       30887 ,        1002 ,   2.15834996E-04 ,   149576896.    
       30888 ,        1002 ,   7.41286799E-02 ,   149576896.    
       30889 ,        1002 ,   7.47794956E-02 ,   149576896.    
       31238 ,        1002 ,   3.32786404E-02 ,   149576896.    
       31239 ,        1002 ,   8.50762427E-02 ,   149576896.    
       31240 ,        1002 ,  0.117610022     ,   149576896.    
       31241 ,        1002 ,   6.63183853E-02 ,   149576896.    
       31242 ,        1002 ,   2.60375929E-03 ,   149576896.    
       31591 ,        1002 ,  0.116509020     ,   149576896.    
       31592 ,        1002 ,   6.73834980E-02 ,   149576896.    
       31593 ,        1002 ,   1.52048636E-02 ,   149576896.    
       31594 ,        1002 ,   8.85843486E-03 ,   149576896.    
       31945 ,        1002 ,  0.271151304     ,   149576896.    
       31946 ,        1002 ,   4.57228161E-02 ,   149576896.    
       32298 ,        1002 ,   2.11589430E-02 ,   149576896.    
       32299 ,        1002 ,   0.00000000     ,   149576896.    
       29819 ,        1003 ,   6.26728963E-03 ,   718121408.    
       29820 ,        1003 ,   5.15179671E-02 ,   718121408.    
       29821 ,        1003 ,   1.70545410E-02 ,   718121408.    
