 GRIDCODE,CVIDE,Fv,USs4ginMUNICIPIO (m2)
       29822 ,        1003 ,   1.66841373E-02 ,   718121408.    
       30171 ,        1003 ,   6.56364835E-04 ,   718121408.    
       30172 ,        1003 ,   5.83817437E-02 ,   718121408.    
       30173 ,        1003 ,   2.16340255E-02 ,   718121408.    
       30174 ,        1003 ,  0.108689308     ,   718121408.    
       30175 ,        1003 ,   5.02052717E-02 ,   718121408.    
       30524 ,        1003 ,   6.28954731E-04 ,   718121408.    
       30525 ,        1003 ,   8.86937007E-02 ,   718121408.    
       30526 ,        1003 ,   2.75351349E-02 ,   718121408.    
       30527 ,        1003 ,   8.17146376E-02 ,   718121408.    
       30528 ,        1003 ,   2.03161240E-02 ,   718121408.    
       30878 ,        1003 ,   4.48764525E-02 ,   718121408.    
       30879 ,        1003 ,  0.102911100     ,   718121408.    
       30880 ,        1003 ,   9.24558118E-02 ,   718121408.    
       30881 ,        1003 ,   2.85757426E-02 ,   718121408.    
       31231 ,        1003 ,   4.01884608E-04 ,   718121408.    
       31232 ,        1003 ,   8.06247965E-02 ,   718121408.    
       31233 ,        1003 ,   9.38445553E-02 ,   718121408.    
       31234 ,        1003 ,   4.82314639E-03 ,   718121408.    
       31585 ,        1003 ,   5.03459480E-04 ,   718121408.    
       31586 ,        1003 ,   1.00385712E-03 ,   718121408.    
       32295 ,        1004 ,   9.35515389E-02 ,   36261536.0    
       32296 ,        1004 ,  0.257718831     ,   36261536.0    
       32297 ,        1004 ,   0.00000000     ,   36261536.0    
       32648 ,        1004 ,  0.213252410     ,   36261536.0    
       32649 ,        1004 ,  0.435477197     ,   36261536.0    
       32650 ,        1004 ,   0.00000000     ,   36261536.0    
       33002 ,        1004 ,   0.00000000     ,   36261536.0    
       30175 ,        1005 ,   7.64589757E-02 ,   344387648.    
       30176 ,        1005 ,   8.95878226E-02 ,   344387648.    
       30528 ,        1005 ,  0.170850277     ,   344387648.    
       30529 ,        1005 ,  0.149013549     ,   344387648.    
       30530 ,        1005 ,   6.95952699E-02 ,   344387648.    
       30531 ,        1005 ,   0.00000000     ,   344387648.    
       30881 ,        1005 ,   5.88328987E-02 ,   344387648.    
       30882 ,        1005 ,  0.145624354     ,   344387648.    
       30883 ,        1005 ,  0.158082321     ,   344387648.    
       30884 ,        1005 ,   9.32577997E-04 ,   344387648.    
       31236 ,        1005 ,   7.50205219E-02 ,   344387648.    
       31237 ,        1005 ,   6.00139378E-03 ,   344387648.    
       31236 ,        1006 ,  0.586759388     ,   65245480.0    
       31237 ,        1006 ,   6.07929640E-02 ,   65245480.0    
       31238 ,        1006 ,  0.134658724     ,   65245480.0    
       31589 ,        1006 ,  0.170298949     ,   65245480.0    
       31590 ,        1006 ,   3.11781280E-02 ,   65245480.0    
       31591 ,        1006 ,   1.63118429E-02 ,   65245480.0    
       31943 ,        1006 ,   0.00000000     ,   65245480.0    
       31944 ,        1006 ,   0.00000000     ,   65245480.0    
       31589 ,        1007 ,   5.71430624E-02 ,   175506448.    
       31590 ,        1007 ,   1.61518692E-03 ,   175506448.    
       31941 ,        1007 ,   1.99759882E-02 ,   175506448.    
       31942 ,        1007 ,  0.218900099     ,   175506448.    
       31943 ,        1007 ,   3.43886353E-02 ,   175506448.    
       31944 ,        1007 ,   0.00000000     ,   175506448.    
       32294 ,        1007 ,  0.133310631     ,   175506448.    
       32295 ,        1007 ,  0.384179205     ,   175506448.    
       32296 ,        1007 ,   3.80631872E-02 ,   175506448.    
       32297 ,        1007 ,   0.00000000     ,   175506448.    
       32647 ,        1007 ,   2.08625440E-02 ,   175506448.    
       32648 ,        1007 ,   9.06514525E-02 ,   175506448.    
       32649 ,        1007 ,   9.10031900E-04 ,   175506448.    
       32650 ,        1007 ,   0.00000000     ,   175506448.    
       30881 ,        1008 ,   5.00237010E-02 ,   728565376.    
       30882 ,        1008 ,   4.23418023E-02 ,   728565376.    
       30883 ,        1008 ,   6.81056641E-04 ,   728565376.    
       31233 ,        1008 ,   1.86780971E-02 ,   728565376.    
       31234 ,        1008 ,  0.106423385     ,   728565376.    
       31235 ,        1008 ,  0.107087567     ,   728565376.    
       31236 ,        1008 ,   2.27825437E-02 ,   728565376.    
       31585 ,        1008 ,   8.02263926E-08 ,   728565376.    
       31586 ,        1008 ,   9.52950493E-02 ,   728565376.    
       31587 ,        1008 ,  0.109497733     ,   728565376.    
       31588 ,        1008 ,   2.31791176E-02 ,   728565376.    
       31589 ,        1008 ,   2.79804394E-02 ,   728565376.    
       31939 ,        1008 ,   6.32978454E-02 ,   728565376.    
       31940 ,        1008 ,  0.111177392     ,   728565376.    
       31941 ,        1008 ,   8.14974681E-02 ,   728565376.    
       31942 ,        1008 ,   2.74328962E-02 ,   728565376.    
       32292 ,        1008 ,   2.86329091E-02 ,   728565376.    
       32293 ,        1008 ,   3.90719064E-02 ,   728565376.    
       32294 ,        1008 ,   4.49189954E-02 ,   728565376.    
       31591 ,        1009 ,  0.114071958     ,   84826472.0    
       31592 ,        1009 ,   6.67800754E-02 ,   84826472.0    
       31943 ,        1009 ,   0.00000000     ,   84826472.0    
       31944 ,        1009 ,  0.224368423     ,   84826472.0    
       31945 ,        1009 ,  0.355235040     ,   84826472.0    
       32296 ,        1009 ,   0.00000000     ,   84826472.0    
       32297 ,        1009 ,   5.58939911E-02 ,   84826472.0    
       32298 ,        1009 ,  0.183650553     ,   84826472.0    
       32650 ,        1009 ,   0.00000000     ,   84826472.0    
       32651 ,        1009 ,   0.00000000     ,   84826472.0    
       30179 ,        1010 ,   7.01936241E-03 ,   138164016.    
       30180 ,        1010 ,   2.65447628E-02 ,   138164016.    
       30181 ,        1010 ,   0.00000000     ,   138164016.    
       30532 ,        1010 ,   1.04273371E-02 ,   138164016.    
       30533 ,        1010 ,   3.79731879E-02 ,   138164016.    
       30534 ,        1010 ,   1.40272759E-05 ,   138164016.    
       30535 ,        1010 ,  0.156758651     ,   138164016.    
       30536 ,        1010 ,  0.157083452     ,   138164016.    
       30886 ,        1010 ,   8.82359147E-02 ,   138164016.    
       30887 ,        1010 ,   4.26406674E-02 ,   138164016.    
       30888 ,        1010 ,  0.310978353     ,   138164016.    
       30889 ,        1010 ,   5.64440638E-02 ,   138164016.    
       31239 ,        1010 ,   4.85090632E-03 ,   138164016.    
       31240 ,        1010 ,  0.101029344     ,   138164016.    
       31241 ,        1010 ,   0.00000000     ,   138164016.    
       30884 ,        1011 ,   8.76364186E-02 ,   58651164.0    
       30885 ,        1011 ,  0.279595584     ,   58651164.0    
       30886 ,        1011 ,   1.40572578E-04 ,   58651164.0    
       31237 ,        1011 ,   0.00000000     ,   58651164.0    
       31238 ,        1011 ,  0.460375011     ,   58651164.0    
       31239 ,        1011 ,  0.172252402     ,   58651164.0    
       31592 ,        1011 ,   0.00000000     ,   58651164.0    
       58300 ,        2001 ,   1.63974237E-05 ,   5.06845880E+10
       58301 ,        2001 ,   1.25600011E-04 ,   5.06845880E+10
       58302 ,        2001 ,   2.48513446E-04 ,   5.06845880E+10
       58303 ,        2001 ,   3.70395894E-04 ,   5.06845880E+10
       58304 ,        2001 ,   1.56993949E-04 ,   5.06845880E+10
       58642 ,        2001 ,   0.00000000     ,   5.06845880E+10
       58643 ,        2001 ,   1.04154533E-04 ,   5.06845880E+10
       58644 ,        2001 ,   4.37844254E-04 ,   5.06845880E+10
       58645 ,        2001 ,   5.71076816E-04 ,   5.06845880E+10
       58646 ,        2001 ,   7.03276717E-04 ,   5.06845880E+10
       58647 ,        2001 ,   8.34444130E-04 ,   5.06845880E+10
       58648 ,        2001 ,   9.64579347E-04 ,   5.06845880E+10
       58649 ,        2001 ,   1.09368237E-03 ,   5.06845880E+10
       58650 ,        2001 ,   1.22175307E-03 ,   5.06845880E+10
       58651 ,        2001 ,   1.34879025E-03 ,   5.06845880E+10
       58652 ,        2001 ,   1.47480017E-03 ,   5.06845880E+10
       58653 ,        2001 ,   1.58337841E-03 ,   5.06845880E+10
       58654 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       58655 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       58656 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       58657 ,        2001 ,   5.24534495E-04 ,   5.06845880E+10
       58995 ,        2001 ,   0.00000000     ,   5.06845880E+10
       58996 ,        2001 ,   8.12124053E-04 ,   5.06845880E+10
       58997 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       58998 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       58999 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       59000 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       59001 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       59002 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       59003 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       59004 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       59005 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       59006 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       59007 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       59008 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       59009 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       59010 ,        2001 ,   5.23685827E-04 ,   5.06845880E+10
       59335 ,        2001 ,   4.39792666E-06 ,   5.06845880E+10
       59336 ,        2001 ,   3.89416673E-04 ,   5.06845880E+10
       59337 ,        2001 ,   4.31318564E-04 ,   5.06845880E+10
       59348 ,        2001 ,   0.00000000     ,   5.06845880E+10
       59349 ,        2001 ,   9.15702840E-04 ,   5.06845880E+10
       59350 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       59351 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       59352 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       59353 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       59354 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       59355 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       59356 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       59357 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       59358 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       59359 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       59360 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       59361 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       59362 ,        2001 ,   1.58603257E-03 ,   5.06845880E+10
       59363 ,        2001 ,   4.23825171E-04 ,   5.06845880E+10
       59688 ,        2001 ,   2.50292505E-04 ,   5.06845880E+10
       59689 ,        2001 ,   1.35446456E-03 ,   5.06845880E+10
       59690 ,        2001 ,   1.09697517E-03 ,   5.06845880E+10
       59702 ,        2001 ,   4.39787284E-04 ,   5.06845880E+10
       59703 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       59704 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       59705 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       59706 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       59707 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       59708 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       59709 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       59710 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       59711 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       59712 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       59713 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       59714 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       59715 ,        2001 ,   1.25496276E-03 ,   5.06845880E+10
       60042 ,        2001 ,   2.91064731E-04 ,   5.06845880E+10
       60043 ,        2001 ,   1.22419198E-03 ,   5.06845880E+10
       60055 ,        2001 ,   9.24337888E-04 ,   5.06845880E+10
       60056 ,        2001 ,   1.58462918E-03 ,   5.06845880E+10
       60057 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       60058 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       60059 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       60060 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       60061 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       60062 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       60063 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       60064 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       60065 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       60066 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       60067 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       60068 ,        2001 ,   1.57601188E-03 ,   5.06845880E+10
       60069 ,        2001 ,   7.17273870E-05 ,   5.06845880E+10
       60071 ,        2001 ,   0.00000000     ,   5.06845880E+10
       60392 ,        2001 ,   3.32092095E-05 ,   5.06845880E+10
       60395 ,        2001 ,   9.05294728E-05 ,   5.06845880E+10
       60396 ,        2001 ,   1.19934743E-03 ,   5.06845880E+10
       60408 ,        2001 ,   1.73095206E-04 ,   5.06845880E+10
       60409 ,        2001 ,   1.57132291E-03 ,   5.06845880E+10
       60410 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       60411 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       60412 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       60413 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       60414 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       60415 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       60416 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       60417 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       60418 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       60419 ,        2001 ,   1.51531084E-03 ,   5.06845880E+10
       60420 ,        2001 ,   8.28018354E-04 ,   5.06845880E+10
       60421 ,        2001 ,   6.96669042E-04 ,   5.06845880E+10
       60422 ,        2001 ,   3.65991327E-05 ,   5.06845880E+10
       60745 ,        2001 ,   3.52965762E-05 ,   5.06845880E+10
       60749 ,        2001 ,   3.20985273E-04 ,   5.06845880E+10
       60761 ,        2001 ,   3.24649318E-06 ,   5.06845880E+10
       60762 ,        2001 ,   1.40535645E-03 ,   5.06845880E+10
       60763 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       60764 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       60765 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       60766 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       60767 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       60768 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       60769 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       60770 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       60771 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       60772 ,        2001 ,   6.51119102E-04 ,   5.06845880E+10
       61114 ,        2001 ,   5.95385616E-04 ,   5.06845880E+10
       61115 ,        2001 ,   1.59588817E-03 ,   5.06845880E+10
       61116 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       61117 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       61118 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       61119 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       61120 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       61121 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       61122 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       61123 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       61124 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       61125 ,        2001 ,   4.23732621E-04 ,   5.06845880E+10
       61466 ,        2001 ,   1.10215187E-05 ,   5.06845880E+10
       61467 ,        2001 ,   1.39118009E-03 ,   5.06845880E+10
       61468 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       61469 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       61470 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       61471 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       61472 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       61473 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       61474 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       61475 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       61476 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       61477 ,        2001 ,   1.42880098E-03 ,   5.06845880E+10
       61478 ,        2001 ,   4.60721685E-06 ,   5.06845880E+10
       61480 ,        2001 ,   6.88460932E-05 ,   5.06845880E+10
       61818 ,        2001 ,   2.20617483E-04 ,   5.06845880E+10
       61819 ,        2001 ,   1.48916338E-03 ,   5.06845880E+10
       61820 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       61821 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       61822 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       61823 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       61824 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       61825 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       61826 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       61827 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       61828 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       61829 ,        2001 ,   1.57428952E-03 ,   5.06845880E+10
       61830 ,        2001 ,   1.09985890E-03 ,   5.06845880E+10
       62170 ,        2001 ,   2.55853450E-07 ,   5.06845880E+10
       62171 ,        2001 ,   1.25305820E-03 ,   5.06845880E+10
       62172 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       62173 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       62174 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       62175 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       62176 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       62177 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       62178 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       62179 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       62180 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       62181 ,        2001 ,   1.50523835E-03 ,   5.06845880E+10
       62182 ,        2001 ,   1.48593288E-04 ,   5.06845880E+10
       62183 ,        2001 ,   2.52128142E-04 ,   5.06845880E+10
       62523 ,        2001 ,   4.25192848E-04 ,   5.06845880E+10
       62524 ,        2001 ,   1.59352366E-03 ,   5.06845880E+10
       62525 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       62526 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       62527 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       62528 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       62529 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       62530 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       62531 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       62532 ,        2001 ,   1.59495429E-03 ,   5.06845880E+10
       62533 ,        2001 ,   7.22246594E-04 ,   5.06845880E+10
       62534 ,        2001 ,   9.74442810E-04 ,   5.06845880E+10
       62535 ,        2001 ,   0.00000000     ,   5.06845880E+10
       62875 ,        2001 ,   3.96393822E-04 ,   5.06845880E+10
       62876 ,        2001 ,   1.37736718E-03 ,   5.06845880E+10
       62877 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       62878 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       62879 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       62880 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       62881 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       62882 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       62883 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       62884 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       62885 ,        2001 ,   1.58935995E-03 ,   5.06845880E+10
       62886 ,        2001 ,   1.36074043E-04 ,   5.06845880E+10
       62887 ,        2001 ,   1.01460146E-05 ,   5.06845880E+10
       62891 ,        2001 ,   4.34697267E-06 ,   5.06845880E+10
       63227 ,        2001 ,   2.77706131E-04 ,   5.06845880E+10
       63228 ,        2001 ,   1.52083987E-03 ,   5.06845880E+10
       63229 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       63230 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       63231 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       63232 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       63233 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       63234 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       63235 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       63236 ,        2001 ,   1.33047765E-03 ,   5.06845880E+10
       63237 ,        2001 ,   1.49280217E-03 ,   5.06845880E+10
       63238 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       63239 ,        2001 ,   3.90423724E-04 ,   5.06845880E+10
       63244 ,        2001 ,   8.48088803E-06 ,   5.06845880E+10
       63579 ,        2001 ,   1.33743479E-05 ,   5.06845880E+10
       63580 ,        2001 ,   6.45551132E-04 ,   5.06845880E+10
       63581 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       63582 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       63583 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       63584 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       63585 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       63586 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       63587 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       63588 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       63589 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       63590 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       63591 ,        2001 ,   1.00706972E-03 ,   5.06845880E+10
       63592 ,        2001 ,   1.34072508E-07 ,   5.06845880E+10
       63932 ,        2001 ,   7.43077078E-04 ,   5.06845880E+10
       63933 ,        2001 ,   1.59633206E-03 ,   5.06845880E+10
       63934 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       63935 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       63936 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       63937 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       63938 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       63939 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       63940 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       63941 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       63942 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       63943 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       63944 ,        2001 ,   5.58868924E-04 ,   5.06845880E+10
       64246 ,        2001 ,   4.12350317E-04 ,   5.06845880E+10
       64247 ,        2001 ,   4.57359653E-04 ,   5.06845880E+10
       64284 ,        2001 ,   4.62196127E-04 ,   5.06845880E+10
       64285 ,        2001 ,   1.54703693E-03 ,   5.06845880E+10
       64286 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       64287 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       64288 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       64289 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       64290 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       64291 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       64292 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       64293 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       64294 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       64295 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       64296 ,        2001 ,   1.48987886E-03 ,   5.06845880E+10
       64297 ,        2001 ,   2.73660873E-04 ,   5.06845880E+10
       64599 ,        2001 ,   6.62278326E-04 ,   5.06845880E+10
       64600 ,        2001 ,   7.70491315E-04 ,   5.06845880E+10
       64636 ,        2001 ,   1.71631793E-04 ,   5.06845880E+10
       64637 ,        2001 ,   1.45206426E-03 ,   5.06845880E+10
       64638 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       64639 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
       64640 ,        2001 ,   1.59811892E-03 ,   5.06845880E+10
