GRIDCODE	CVENTMUN	Fr
648	07087	1
1705	07089	1
2057	07037	1
2762	07040	1
2762	07103	1
3112	07003	1
3113	07071	1
3815	07051	1
4870	07069	1
6611	20079	1
6629	07097	1
6964	20515	1
6980	07009	1
7327	20525	1
7329	20327	1
7673	20043	1
7676	20130	1
7678	20143	1
7679	20075	1
8024	20014	1
8024	20305	1
8025	20005	1
8025	20030	1
8712	20068	1
9064	20452	1
9084	20010	1
9417	20565	1
9770	20385	1
9772	20197	1
9773	20551	1
9790	20427	1
10123	20067	1
10124	20553	1
10143	20198	1
10475	20033	1
10475	20293	1
10475	20338	1
10827	20483	1
10849	20057	1
11179	20150	1
11180	20294	1
11531	20161	1
11884	20463	1
11908	30091	1
12590	20311	1
12967	30144	0.5
12989	07068	1
12991	27016	1
12993	27015	1
13007	27007	1
13009	27017	1
13235	16052	1
13297	20177	1
13338	27008	1
13341	07048	1
13349	27012	1
13351	07077	1
13355	07065	1
13670	30142	1
13674	30144	0.5
13717	27001	0.5
14002	20431	1
14027	30116	1
14028	30172	1
14036	30061	1
14354	20545	1
14365	20184	0.5
14373	30077	1
14374	30094	1
14382	30089	1
14387	30111	1
14677	12017	1
14707	20109	1
14721	20044	1
14723	30169	1
14735	30059	1
14735	30120	1
14736	30048	0.5
14737	30048	0.5
14739	30082	1
14739	30206	1
15004	16010	1
15059	21035	1
15072	20184	0.5
15075	30054	1
15091	30039	1
15130	27001	0.5
15384	12035	1
15411	21214	1
15424	30207	1
15426	30045	1
15739	12015	1
15764	21013	1
16100	17003	1
16101	21051	1
16115	21156	1
16127	30174	1
16445	17001	1
16446	17017	1
16452	17013	1
16456	21085	1
16466	21161	1
16468	21149	1
16478	20002	1
16800	17024	1
16800	17031	1
16804	17019	1
16819	21177	1
16821	21046	1
16829	30173	1
16830	20021	1
17120	16035	1
17156	17004	1
17162	21069	1
17162	21166	1
17171	21205	1
17174	21099	1
17176	30006	1
17181	30117	1
17506	17008	1
17506	17011	1
17509	17006	1
17529	30099	1
17530	30030	1
17530	30115	1
17530	30138	1
17533	30014	1
17534	30052	1
17542	30181	1
17803	06001	1
17804	06009	1
17859	17007	1
17861	17029	1
17862	17026	1
17863	17002	1
17868	21019	1
17875	21038	1
