GRIDCODE	CVENTMUN	Fr
17876	21154	1
17879	21045	1
17880	21063	1
17884	30118	1
17885	30068	1
17885	30085	1
17886	30044	1
17887	30021	1
17898	30011	1
18152	06007	1
18175	16006	1
18177	16064	1
18178	16055	1
18213	17020	1
18215	17027	1
18216	15094	1
18217	15068	1
18227	21164	1
18241	30125	1
18311	04009	1
18532	16033	1
18565	17009	1
18570	15009	1
18570	15015	1
18576	21140	1
18577	21114	1
18579	21015	1
18583	21142	1
18584	21130	1
18596	30007	1
18597	30148	1
18601	30105	1
18864	06004	1
18865	06002	1
18887	16059	1
18918	09012	1
18922	15089	1
18923	15017	1
18929	29027	1
18929	29041	1
18929	29042	1
18933	21001	1
18936	21096	1
18951	30100	1
18954	30193	0.5
19221	06005	1
19266	15106	1
19267	15051	1
19267	15076	1
19268	15062	1
19274	15025	1
19280	21132	1
19281	21074	1
19282	29058	1
19283	29022	1
19283	29028	1
19283	29059	1
19283	29060	1
19286	29037	1
19287	21104	1
19288	21128	1
19307	30193	0.5
19574	14103	1
19592	16087	1
19592	16111	1
19624	09008	1
19627	09011	1
19627	15070	1
19633	29015	1
19636	29002	1
19636	29010	1
19636	29018	1
19636	29048	1
19639	29013	1
19639	29016	1
19641	29004	1
19641	29008	1
19642	21108	0.5
19642	29007	1
19658	30016	1
19944	16102	1
19947	16079	1
19964	16112	1
19971	15005	1
19976	15037	1
19977	09010	1
19977	09016	1
19978	09015	1
19979	15058	1
19980	15031	1
19985	29012	1
19989	29005	1
19989	29026	1
19990	29038	1
19991	29039	1
19995	21108	0.5
20006	30017	1
20006	30088	1
20009	30134	1
20281	14108	1
20299	16090	1
20302	16066	1
20303	16039	1
20304	16048	1
20316	16098	1
20330	09002	1
20330	15057	1
20331	09005	1
20331	15033	1
20334	15099	1
20338	29020	1
20338	29021	1
20342	29011	1
20342	29040	1
20343	29031	1
20348	21094	0.5
20350	21170	1
20357	30038	1
20358	30065	1
20431	04004	1
20634	14121	1
20645	16075	1
20645	16095	1
20654	16032	1
20670	16005	1
20670	16061	1
20676	15042	1
20683	15104	1
20683	15109	1
20687	15028	1
20690	29006	1
20692	29045	1
20693	29014	1
20693	29034	1
20694	29003	1
20701	21044	1
20701	21094	0.5
20706	30128	1
20710	30087	1
21013	16053	1
21021	16041	1
21022	16007	1
21028	15074	1
21036	15024	1
21036	15121	1
21037	15108	1
21040	15002	1
21040	15075	1
21041	15065	1
21043	13021	1
21045	13007	1
21059	30194	1
21060	30132	1
21061	30001	1
21062	30026	1
21062	30093	1
21062	30136	1
21339	14079	1
21351	16091	1
21360	16016	1
21367	16022	1
21368	16040	1
21375	16080	1
21381	15048	1
21389	15091	1
21391	15059	1
21391	15120	1
21395	15016	1
21395	15061	1
21396	13061	1
21398	13008	1
21408	21211	1
21691	14082	1
21712	16107	1
21722	16110	1
21731	15064	1
21733	15014	1
21733	15085	1
21742	15023	1
21742	15035	1
21745	13069	1
21745	15084	1
21749	13072	1
21761	21186	1
21762	21017	1
21763	21054	1
21763	21174	1
22065	16044	1
22081	16050	1
22084	16017	1
22094	13063	1
22095	15096	1
22099	13066	1
22101	13083	1
22397	14004	1
22410	16023	1
22410	16104	1
22412	16108	1
22418	16063	1
22430	11002	1
22433	11038	1
22448	13013	1
22448	15010	1
22456	13057	1
22799	13076	1
22800	13010	1
22800	13074	1
22802	13005	1
22806	13051	1
22810	13077	1
22811	13016	1
22811	13056	1
22813	21008	1
23104	14089	1
23119	16030	1
23125	16004	1
23126	16113	1
23134	11028	1
23150	13017	1
23150	15045	1
23151	13064	1
23157	13052	1
23159	13048	1
23456	14119	1
23488	11039	1
23500	15071	1
23502	13044	1
23517	13035	1
23608	04002	1
23817	14066	1
23819	14063	1
23821	14018	1
23822	16105	1
23823	16086	1
23824	16106	1
23827	16069	1
23855	13029	1
24162	14002	1
24167	14044	1
24184	11023	1
24204	22016	1
24517	14097	1
24538	11001	1
24545	11044	1
24547	11007	1
24549	11005	1
24555	22012	1
24557	22017	1
24559	13059	1
24670	04008	1
24865	14095	1
24871	14098	1
24872	14070	1
24896	11027	1
24905	22014	1
24907	22011	1
24908	22005	1
25217	14003	1
25220	14083	1
25223	14120	1
25224	14039	1
25247	11017	1
25376	04005	1
25389	31098	1
25390	31058	1
25568	14036	1
25569	14007	1
25573	14009	1
25607	11009	1
25738	31003	1
25739	31079	1
25925	14005	1
26083	04001	1
26091	31056	1
26276	14055	1
26277	14094	1
26305	11037	1
26313	11003	1
26442	31089	1
26627	14040	1
26660	11015	1
26670	11032	1
26789	31033	1
26795	31018	1
26973	18013	1
26976	18002	1
26977	18006	1
27006	11025	1
27008	11020	1
27143	31048	1
27358	14109	1
27370	11014	1
27497	31045	1
27507	31069	1
27677	18004	1
27850	31023	1
27854	31090	1
27855	31076	1
27858	31037	1
28081	11033	1
28208	31002	1
28209	31067	1
28210	31034	1
28211	31036	1
28211	31064	1
28221	31099	1
28222	31102	1
28417	14053	1
28557	31101	1
28560	31041	1
28571	31030	1
28573	31091	1
28737	18008	1
28767	14035	1
28784	11029	1
28912	31050	1
28914	31093	1
28914	31095	1
28916	31007	1
28919	31040	1
28922	31097	1
28923	31060	1
29089	18017	1
29270	31005	1
29271	31078	1
29488	11030	1
29633	31032	1
29634	31008	1
29987	31096	1
30193	24050	1
30227	30121	1
30323	31059	1
30499	18015	1
30531	01001	1
30852	18011	1
30885	01011	1
30910	24011	1
30910	24024	1
30914	24005	1
30916	24023	1
31274	24013	1
31557	18010	1
31590	01006	1
31593	01002	1
31605	24028	1
31619	24002	1
31630	24040	1
31639	30152	1
31943	01007	1
31946	32024	1
31971	24010	1
31993	30133	1
32311	24021	1
32341	24016	1
32343	30123	1
32347	28038	1
32649	01004	1
32654	32035	1
32661	24001	1
32673	24052	1
33002	32025	1
33008	32054	1
33021	24051	1
33025	24008	1
33320	18001	1
33354	32012	1
33355	32008	1
33364	32038	1
33376	24017	1
33405	28003	1
33707	32036	1
33715	24025	1
34058	32017	1
34076	24022	1
34411	32056	1
34452	28021	1
34727	25009	1
34763	32032	1
34811	28012	1
35116	32005	1
35134	24045	1
35433	25014	1
35468	32013	1
35511	28043	1
35840	24015	1
36174	32010	1
36486	25012	1
36572	28019	1
37927	32009	1
37929	32042	1
37939	32006	1
37982	28008	1
38286	32040	1
38312	24006	1
38316	24020	1
38600	25016	1
38648	32051	1
38685	28041	1
38995	32039	1
39018	24044	1
39021	24007	1
39657	25008	1
39682	10005	1
39744	28013	1
40060	32014	1
41155	28016	1
41451	10020	1
41454	10008	1
41799	10001	1
41826	32026	1
41843	32041	1
42190	32007	1
42212	28042	1
42515	10021	1
42565	28020	1
42882	10027	1
43179	25018	1
43535	25006	1
43585	05036	1
43623	19033	1
43959	05030	1
44263	10032	1
44282	10004	1
44590	25013	1
44679	19038	1
45672	10035	1
46049	10012	1
46051	05035	1
46352	25015	1
46403	10007	1
46431	05027	1
46442	19009	1
46776	05011	1
46793	19031	1
47053	25011	1
47114	05033	1
47124	05024	1
47142	19048	1
47144	19039	1
47145	19026	1
47146	19006	1
47147	19041	1
47152	19042	1
47494	19018	1
47497	19021	1
47754	25001	1
47760	25017	1
47813	10013	1
47850	19010	1
47860	19027	1
48201	19037	1
48202	19001	1
48202	19047	1
48203	19045	1
48234	28022	1
48568	19003	1
48569	19015	1
48581	28033	1
48583	28040	1
48931	28032	1
49278	28007	1
49281	28015	1
50230	25010	1
50320	19051	1
50615	10017	1
50672	19008	1
51674	08044	1
51721	05006	1
51997	25007	1
52025	08060	1
52073	05018	1
52380	08032	1
52420	05007	1
52426	05010	1
52689	26033	1
52758	05023	1
52778	05021	1
52790	19032	1
53134	05001	1
53396	26026	1
53443	08003	1
53445	08039	1
53751	26042	1
53814	05034	1
53853	19005	1
54117	08030	1
54193	05008	1
54566	28027	1
54825	08065	1
54899	05026	1
55511	26018	1
56213	26029	1
56242	08009	1
56309	05020	1
56313	05028	1
56621	08016	1
57326	08062	1
57620	26025	1
57727	05037	1
58031	08021	1
58394	08011	1
58735	08055	1
58788	05022	1
59075	08017	1
59139	05038	1
59423	08031	1
59431	08054	1
59789	08019	1
59849	05025	1
60830	08043	1
60850	08002	1
61151	26021	1
61257	05014	1
61535	08063	1
62561	26030	1
62591	08040	1
62669	05002	1
63691	08052	1
63974	26056	1
65385	26020	1
66444	26045	1
66829	08013	1
67502	26016	1
67870	26041	1
67889	08050	1
68557	26064	1
68610	08001	1
68914	26058	1
69269	26036	1
69283	26027	1
69962	26017	1
69963	26047	1
69976	26035	1
70688	26019	1
71071	08005	1
71744	26059	1
72094	26043	1
72104	26039	1
72108	26002	1
73125	26048	1
73553	08037	1
77347	26055	1
79092	02004	1
79449	02003	1
79460	02002	1
