GRIDCODE,LONG,LATITUDE,Huso,Pob
19608,-100.574703,19.35876,6,1257
19609,-100.488802,19.357925,6,5534
19610,-100.402903,19.357042,6,8412
19611,-100.317006,19.356109,6,6033
19612,-100.231109,19.355128,6,7308
19613,-100.145214,19.354098,6,15169
19614,-100.05932,19.353019,6,11202
19615,-99.973427,19.351892,6,8779
19616,-99.887536,19.350715,6,12685
19617,-99.801646,19.34949,6,34447
19618,-99.715758,19.348216,6,82062
19619,-99.629871,19.346893,6,260358
19620,-99.543987,19.345521,6,84739
19621,-99.458104,19.344101,6,47756
19622,-99.372222,19.342631,6,57944
19623,-99.286343,19.341113,6,456420
19624,-99.200466,19.339546,6,826871
19625,-99.11459,19.33793,6,1064615
19626,-99.028717,19.336266,6,156002
19627,-98.942846,19.334552,6,586000
19628,-98.856977,19.33279,6,257677
19629,-98.77111,19.330979,6,3187
19630,-98.685246,19.329119,6,6136
19631,-98.599384,19.327211,6,14322
19632,-98.513524,19.325253,6,37342
19633,-98.427667,19.323247,6,69157
19634,-98.341813,19.321192,6,41858
19635,-98.255961,19.319088,6,112525
19636,-98.170112,19.316936,6,139483
19637,-98.084265,19.314734,6,20223
19638,-97.998421,19.312484,6,5867
19639,-97.912581,19.310185,6,59940
19640,-97.826743,19.307838,6,1286
19641,-97.740908,19.305441,6,11944
19642,-97.655076,19.302996,6,15474
19643,-97.569247,19.300502,6,2153
19644,-97.483422,19.297959,6,3012
19645,-97.3976,19.295368,6,1148
19646,-97.311781,19.292728,6,13071
19647,-97.225965,19.290039,6,11629
19648,-97.140153,19.287301,6,10764
19649,-97.054344,19.284515,6,7597
19650,-96.968539,19.28168,6,11788
19651,-96.882737,19.278796,6,12370
19652,-96.796939,19.275863,6,749
19653,-96.711145,19.272882,6,3674
19654,-96.625355,19.269852,6,2494
19655,-96.539568,19.266773,6,1733
19656,-96.453785,19.263645,6,8062
19657,-96.368007,19.260469,6,8121
19658,-96.282232,19.257244,6,9341
19659,-96.196461,19.25397,6,34198
19660,-96.110695,19.250648,6,27
19661,-96.024933,19.247277,6,0
19662,-95.939175,19.243857,6,0
19663,-95.853421,19.240389,6,0
19664,-95.767672,19.236872,6,0
19665,-95.681927,19.233306,6,0
19666,-95.596187,19.229691,6,0
19667,-95.510451,19.226028,6,0
19668,-95.42472,19.222316,6,0
19669,-95.338994,19.218556,6,0
19670,-95.253273,19.214747,6,0
19671,-95.167556,19.210889,6,0
19672,-95.081844,19.206982,6,0
19673,-94.996137,19.203027,6,0
19674,-94.910435,19.199024,6,0
19675,-94.824739,19.194971,6,0
19676,-94.739047,19.19087,6,0
19677,-94.65336,19.186721,6,0
19678,-94.567679,19.182522,6,0
19679,-94.482003,19.178276,6,0
19680,-94.396333,19.17398,6,0
19681,-94.310668,19.169636,6,0
19682,-94.225008,19.165244,6,0
19683,-94.139354,19.160802,6,0
19684,-94.053705,19.156313,6,0
19685,-93.968063,19.151774,6,0
19686,-93.882426,19.147187,6,0
19687,-93.796794,19.142552,6,0
19688,-93.711169,19.137868,6,0
19689,-93.625549,19.133135,6,0
19690,-93.539936,19.128354,6,0
19691,-93.454328,19.123524,6,0
19692,-93.368727,19.118646,6,0
19693,-93.283132,19.113719,6,0
19694,-93.197543,19.108744,6,0
19695,-93.11196,19.10372,6,0
19696,-93.026384,19.098647,6,0
19697,-92.940814,19.093527,6,0
19698,-92.85525,19.088357,6,0
19699,-92.769693,19.083139,6,0
19700,-92.684143,19.077873,6,0
19701,-92.598599,19.072558,6,0
19702,-92.513062,19.067195,6,0
