ID_DB,CBM04,Lumped species,,,,,,,,,,,
12,Code,PAR,OLE,TOL,XYL,FORM,ALD2,ETH,ISOP,MEOH,ETOH,UNR,NVOL
0,43201,0.000736,0,0,0,0,0,0,0,0,0,0.072864,0
0,43203,0,0,0,0,0,0,0.0286,0,0,0,0,0
0,45201,0.0282,0,0,0,0,0,0,0,0,0,0.141,0
0,43204,0.036,0,0,0,0,0,0,0,0,0,0.036,0
0,45202,0,0,0.0204,0,0,0,0,0,0,0,0,0
0,43212,0.0724,0,0,0,0,0,0,0,0,0,0,0
0,43502,0,0,0,0,0.0155,0,0,0,0,0,0,0
0,43551,0.0441,0,0,0,0,0,0,0,0,0,0,0
0,43205,0.014,0.014,0,0,0,0,0,0,0,0,0,0
0,43232,0.098,0,0,0,0,0,0,0,0,0,0,0
0,43301,0,0,0,0,0,0,0,0,0.014,0,0,0
0,43202,0.00556,0,0,0,0,0,0,0,0,0,0.02224,0
0,43231,0.0822,0,0,0,0,0,0,0,0,0,0,0
0,43302,0,0,0,0,0,0,0,0,0,0.0136,0,0
0,43552,0.0488,0,0,0,0,0,0,0,0,0,0,0
0,45220,0,0.006,0.012,0,0,0,0,0,0,0,0,0
0,43350,0.0224,0,0,0,0,0,0,0,0,0,0,0
0,43122,0.0555,0,0,0,0,0,0,0,0,0,0,0
0,43248,0.054,0,0,0,0,0,0,0,0,0,0,0
0,43206,0.0086,0,0,0,0,0,0,0,0,0,0.0086,0
0,43503,0,0,0,0,0,0.0084,0,0,0,0,0,0
0,45701,0,0,0,0.005925,0,0,0,0,0,0,0,0
0,43505,0,0.00385,0,0,0,0.0077,0,0,0,0,0,0
0,43802,0,0,0,0,0,0,0,0,0,0,0.0075,0
0,43304,0.0219,0,0,0,0,0,0,0,0,0,0,0
0,43404,0.0073,0,0,0,0,0,0,0,0,0,0.0073,0
0,45807,0.0072,0,0,0,0,0,0,0,0,0,0.036,0
0,43115,0.04733357,0,0,0,0,0,0,0,0,0,0.00236643,0
0,43220,0.0355,0,0,0,0,0,0,0,0,0,0,0
0,43432,0.0142,0,0,0,0,0,0,0,0,0,0.0071,0
0,45801,0.0071,0,0,0,0,0,0,0,0,0,0.0355,0
0,43817,0,0,0,0,0,0,0,0,0,0,0.014,0
0,45102,0.00175,0,0.00175,0.00525,0,0,0,0,0,0,0,0
0,43305,0.0276,0,0,0,0,0,0,0,0,0,0,0
0,43822,0,0,0,0,0,0,0,0,0,0,0.0207,0
0,43218,0,0.0134,0,0,0,0,0,0,0,0,0,0
0,43776,0.0268,0,0,0,0,0.0067,0,0,0,0,0,0
0,43374,0.0132,0,0,0,0,0.0132,0,0,0,0,0,0
0,45731,0,0,0.0066,0,0,0,0,0,0,0,0.0132,0
0,43804,0,0,0,0,0,0,0,0,0,0,0.0065,0
0,45203,0.0065,0,0.0065,0,0,0,0,0,0,0,0,0
0,43118,0.0398656,0.00000064,0.00037888,0.00054912,0,0.00017024,0,0,0.00008128,0.00036224,0.00094784,0
0,43351,0.0248,0,0,0,0,0,0,0,0,0,0,0
0,43811,0,0,0,0,0,0,0,0,0,0,0.0061,0
0,45204,0,0,0,0.0059,0,0,0,0,0,0,0,0
0,43435,0.029,0,0,0,0,0,0,0,0,0,0.0058,0
0,43704,0.0058,0.0058,0,0,0,0,0,0,0,0,0,0
0,43815,0,0,0,0,0,0,0,0,0,0,0.0116,0
0,45205,0,0,0,0.0057,0,0,0,0,0,0,0,0
0,43560,0.0336,0,0,0,0,0,0,0,0,0,0,0
0,43453,0.0055,0.0055,0,0,0,0,0,0,0,0,0.0055,0
0,43105,0.03149982,0,0,0,0,0,0,0,0,0,0.00090018,0
0,43224,0.0162,0.0054,0,0,0,0,0,0,0,0,0,0
0,43238,0.054,0,0,0,0,0,0,0,0,0,0,0
0,43561,0.0318,0,0,0,0,0,0,0,0,0,0,0
0,43264,0.01699983,0.00085017,0,0,0,0.00850017,0,0,0,0,0,0
0,43562,0.0357,0,0,0,0,0,0,0,0,0,0,0
0,43803,0,0,0,0,0,0,0,0,0,0,0.0051,0
0,43438,0.01,0.005,0,0,0,0,0,0,0,0,0.005,0
0,43602,0.01,0,0,0,0,0,0,0,0,0,0.005,0
0,90001,0.05,0.005,0,0,0,0,0,0,0,0,0,0
0,43434,0.0196,0,0,0,0,0,0,0,0,0,0.0049,0
0,43444,0.0188,0,0,0,0,0,0,0,0,0,0.0047,0
0,45101,0.0292763,0.00000047,0.00027824,0.00040326,0,0.00012502,0,0,0.00005969,0.00026602,0.00069607,0
0,43111,0.0552,0,0,0,0,0,0,0,0,0,0,0
0,43377,0.0276,0,0,0,0,0,0,0,0,0,0,0
0,43441,0.0092,0.0046,0,0,0,0,0,0,0,0,0.0046,0
0,43317,0.027,0,0,0,0,0,0,0,0,0,0,0
0,43407,0,0.0045,0,0,0,0,0,0,0,0,0.0045,0
0,43308,0.0264,0,0,0,0,0,0,0,0,0,0,0
0,43433,0.0132,0,0,0,0,0,0,0,0,0,0.0044,0
0,43510,0.0088,0,0,0,0,0.0044,0,0,0,0,0,0
0,43777,0,0,0,0,0,0.0044,0,0,0,0,0,0
0,43778,0,0,0,0,0,0.0044,0,0,0,0,0,0
0,45300,0.0044,0,0,0,0,0,0,0,0,0,0.022,0
0,43440,0.0172,0.0043,0,0,0,0,0,0,0,0,0.0043,0
0,43814,0,0,0,0,0,0,0,0,0,0,0.0086,0
0,43824,0,0,0,0,0,0,0.0043,0,0,0,0,0
0,43114,0.063,0,0,0,0,0,0,0,0,0,0,0
0,43214,0.0168,0,0,0,0,0,0,0,0,0,0,0
0,43303,0.0126,0,0,0,0,0,0,0,0,0,0,0
0,43306,0.0168,0,0,0,0,0,0,0,0,0,0,0
0,43309,0.0126,0,0,0,0,0,0,0,0,0,0.0042,0
0,43403,0,0,0,0,0,0,0,0,0,0,0.0042,0
0,43504,0.0042,0,0,0,0,0.0042,0,0,0,0,0,0
0,43511,0.0084,0,0,0,0,0.0042,0,0,0,0,0,0
0,43837,0,0,0,0,0,0,0,0,0,0,0.0084,0
0,43860,0,0,0,0,0,0,0.0042,0,0,0,0,0
0,43863,0.0126,0,0,0,0,0,0,0,0,0,0,0
0,45810,0,0,0.0042,0,0,0,0,0,0,0,0,0
0,45221,0,0.0041,0.0041,0,0,0,0,0,0,0,0,0
0,43109,0.0395,0,0,0,0,0,0,0,0,0,0.0005,0
0,43213,0.008,0.004,0,0,0,0,0,0,0,0,0,0
0,43243,0,0,0,0,0,0,0,0.004,0,0,0,0
0,43292,0.004,0,0,0,0,0.008,0,0,0,0,0,0
0,43405,0.008,0,0,0,0,0,0,0,0,0,0.004,0
0,43409,0.016,0,0,0,0,0,0,0,0,0,0.008,0
0,43821,0,0,0,0,0,0,0,0,0,0,0.008,0
0,43843,0,0,0,0,0,0,0,0,0,0,0.008,0
0,45206,0,0,0,0.004,0,0,0,0,0,0,0,0
0,45750,0.004,0.008,0,0,0,0,0,0,0,0,0,0
0,45805,0.004,0,0,0,0,0,0,0,0,0,0.02,0
0,90011,0.004,0.006,0,0,0,0,0,0,0,0,0,0
0,43310,0.0117,0,0,0,0,0,0,0,0,0,0,0
0,43373,0.0156,0,0,0,0,0,0,0,0,0,0,0
0,43378,0.0195,0,0,0,0,0,0,0,0,0,0,0
0,43379,0.0312,0,0,0,0,0,0,0,0,0,0,0
0,43451,0.0273,0,0,0,0,0,0,0,0,0,0.0039,0
0,43369,0.0114,0,0,0,0,0,0,0,0,0,0,0
0,43437,0.0038,0.0038,0,0,0,0,0,0,0,0,0.0038,0
0,43468,0.0152,0.0038,0,0,0,0,0,0,0,0,0.0038,0
0,43601,0.00076,0,0,0,0,0,0,0,0,0,0.00684,0
0,45210,0.0076,0,0.0038,0,0,0,0,0,0,0,0,0
0,45236,0.0152,0,0,0.0038,0,0,0,0,0,0,0,0
0,45605,0,0,0.0038,0,0,0,0,0,0,0,0,0
0,43370,0.0074,0,0,0,0,0,0,0,0,0,0,0
0,45503,0.0037,0.0037,0,0,0,0.0037,0,0,0,0,0,0
0,46210,0.00939467,0,0.0023347,0.0013653,0,0,0,0,0,0,0,0
0,43119,0.0224244,0.00000036,0.00021312,0.00030888,0,0.00009576,0,0,0.00004572,0.00020376,0.00053316,0
0,43311,0.0144,0,0,0,0,0,0,0,0,0,0,0
0,43371,0.0216,0,0,0,0,0,0,0,0,0,0,0
0,43450,0.0072,0,0,0,0,0,0,0,0,0,0.0036,0
0,43452,0.018,0,0,0,0,0,0,0,0,0,0.0036,0
0,43256,0.021,0.00175,0,0,0,0.00525,0,0,0,0,0,0
0,43604,0.007,0,0,0,0,0,0,0,0,0,0.007,0
0,43820,0,0,0,0,0,0,0,0,0,0,0.007,0
0,43823,0,0,0,0,0,0,0,0,0,0,0.0035,0
0,43314,0.0136,0,0,0,0,0,0,0,0,0,0,0
0,43862,0,0.0068,0,0,0,0,0,0,0,0,0,0
0,43376,0.0132,0,0,0,0,0,0,0,0,0,0.0033,0
0,43902,0.0066,0,0,0,0,0,0,0,0,0,0,0
0,45702,0.0033,0,0,0,0,0,0,0,0,0,0.0165,0
0,43844,0,0,0,0,0,0,0,0,0,0,0.003,0
0,43812,0,0,0,0,0,0,0,0,0,0,0.0058,0
0,43262,0.0162,0,0,0,0,0,0,0,0,0,0,0
0,43106,0.01702375,0,0,0,0,0,0,0,0,0,0.00047625,0
0,99999,0,0,0,0,0,0,0,0,0,0,0,0
0,43257,0.0184,0.0023,0,0,0,0,0,0,0,0,0,0
0,43233,0.0168,0,0,0,0,0,0,0,0,0,0,0
0,43430,0.0021,0,0,0,0,0,0,0,0,0,0.0021,0
0,45455,0.0105,0,0,0,0,0,0,0,0,0,0.0126,0
0,43408,0,0,0,0,0,0,0,0,0,0,0,0.032
0,45601,0.002,0,0,0,0,0,0,0,0,0,0.014,0
0,43108,0.0168625,0,0,0,0,0,0,0,0,0,0.0002375,0
0,43255,0.0228,0,0,0,0,0,0,0,0,0,0,0
0,46701,0.0036,0,0,0.0018,0,0,0,0,0,0,0,0
0,43260,0.0255,0,0,0,0,0,0,0,0,0,0,0
0,43457,0.0051,0,0,0,0,0,0,0,0,0,0,0
0,43840,0,0,0,0,0,0,0,0,0,0,0.0016,0
0,43107,0.011625,0,0,0,0,0,0,0,0,0,0.000375,0
0,43140,0.0093435,0.00000015,0.0000888,0.0001287,0,0.0000399,0,0,0.00001905,0.0000849,0.00022215,0
0,43241,0.0154,0,0,0,0,0,0,0,0,0,0,0
0,43261,0.0078,0,0,0,0,0,0,0,0,0,0.0013,0
0,90010,0,0,0,0.0013,0,0,0,0,0,0,0,0
0,43520,0.0007752,0,0,0,0,0.0012,0,0,0,0,0,0
0,46112,0.0012,0,0,0,0,0,0,0,0,0,0.0072,0
0,43456,0,0,0,0,0,0,0,0,0,0,0,0.0209
0,45107,0.0011,0,0,0.0011,0,0,0,0,0,0,0,0
0,43132,0.008472,0,0,0,0,0,0,0,0,0,0.0002217,0
0,43258,0.013,0,0,0,0,0,0,0,0,0,0,0
0,99933,0,0,0,0,0,0,0,0,0,0,0,0
0,43235,0.0081,0,0,0,0,0,0,0,0,0,0,0
0,43458,0.0063,0,0,0,0,0,0,0,0,0,0.0045,0
0,43934,0,0,0,0,0,0,0,0,0,0,0.0009,0
0,90019,0,0,0,0,0,0,0,0,0,0,0.0054,0
0,43221,0.004,0,0,0,0,0,0,0,0,0,0,0
0,43454,0,0,0,0,0,0,0,0,0,0,0,0.0136
0,43259,0.0098,0,0,0,0,0,0,0,0,0,0,0
0,43563,0.0049,0,0,0,0,0,0,0,0,0,0,0
0,43603,0,0.0014,0,0,0,0,0,0,0,0,0,0
0,43277,0.0048,0,0,0,0,0,0,0,0,0,0,0
0,45105,0.00174,0,0.0006,0,0,0,0,0,0,0,0.00006,0
0,45451,0.0018,0,0,0,0,0,0,0,0,0,0.0042,0
0,46708,0.0036,0,0,0.0006,0,0,0,0,0,0,0,0
0,43110,0.0055,0,0,0,0,0,0,0,0,0,0,0
0,43116,0.00392855,0,0,0,0,0,0,0,0,0,0.00007145,0
0,43120,0.0005,0.00025,0,0,0,0.0005,0,0,0,0,0,0
0,43121,0.0012,0.0001,0,0,0.0001,0.0005,0,0,0,0,0,0
0,43367,0.002,0,0,0,0,0,0,0,0,0,0,0
0,43845,0,0,0,0,0,0,0,0,0,0,0.0005,0
0,45456,0.004,0,0,0,0,0,0,0,0,0,0.0035,0
0,90053,0,0,0,0,0,0,0,0,0,0,0,0
0,98059,0,0,0,0,0,0,0,0,0,0,0,0
0,43247,0.0028,0,0,0,0,0,0,0,0,0,0,0
0,43322,0.0016,0,0,0,0,0,0,0,0,0,0,0
0,45104,0.0004,0,0,0.0004,0,0,0,0,0,0,0,0
0,45402,0.0004,0,0,0,0,0,0,0,0,0,0.0024,0
0,45452,0.0036,0,0,0,0,0,0,0,0,0,0.0028,0
0,45740,0.00022436,0.00001756,0.00030656,0.00003516,0,0,0,0,0,0,0.000946,0
0,46702,0.001,0,0,0.0004,0,0,0,0,0,0,0.0002,0
0,46711,0.0012,0,0,0.0004,0,0,0,0,0,0,0,0
0,43125,0.00200001,0.00009999,0,0,0,0.00039999,0,0,0,0,0,0
0,43230,0.0018,0,0,0,0,0,0,0,0,0,0,0
0,43245,0.0012,0.0003,0,0,0,0,0,0,0,0,0,0
0,43455,0.0042,0,0,0,0,0,0,0,0,0,0.0003,0
0,43805,0,0,0,0,0,0,0,0,0,0,0.0003,0
0,43839,0,0,0,0,0,0,0,0,0,0,0.0003,0
0,43933,0,0,0,0,0,0,0,0,0,0,0.0003,0
0,45106,0.0006,0,0,0.0003,0,0,0,0,0,0,0,0
0,45109,0.00067359,0,0.00008547,0.00021453,0,0,0,0,0,0,0.00000705,0
0,45207,0.0003,0,0,0.0003,0,0,0,0,0,0,0,0
0,45212,0.0003,0,0,0.0003,0,0,0,0,0,0,0,0
0,45228,0.0003,0.0003,0.0003,0,0,0,0,0,0,0,0,0
0,46114,0,0,0.0003,0,0,0,0,0,0,0,0,0
0,90020,0,0,0,0,0,0,0,0,0,0,0.0024,0
0,90028,0.0021,0,0,0,0,0,0,0,0,0,0,0
0,90070,0,0,0,0,0,0,0,0,0,0,0,0
0,98062,0,0,0,0,0,0,0,0,0,0,0,0
0,43133,0,0,0,0,0,0,0,0,0,0,0,0
0,43141,0.00155,0,0,0,0,0,0,0,0,0,0.00005,0
