ID_DB,RADM-2 Lumped Species,,,,,,,,,,,,,,,,,,,,
21,Code,CH4,ETH,HC3,HC5,HC8,OL2,OLT,OLI,TOL,XYL,HCHO,ALD,KET,ISO,CSL,ORA1,ORA2,GLY,MGLY,MACR,MVK
0,43201,0.0736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,43203,0,0,0,0,0,0.0286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,45201,0,0,0,0,0,0,0,0,0.0082626,0,0,0,0,0,0,0,0,0,0,0,0
0,43204,0,0,0.012456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,45202,0,0,0,0,0,0,0,0,0.0204,0,0,0,0,0,0,0,0,0,0,0,0
0,43212,0,0,0.0174484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,43502,0,0,0,0,0,0,0,0,0,0,0.0155,0,0,0,0,0,0,0,0,0,0
0,43551,0,0,0,0,0,0,0,0,0,0,0,0,0.0037191,0,0,0,0,0,0,0,0
0,43205,0,0,0,0,0,0,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,43232,0,0,0,0.013384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,43301,0,0,0.005628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,43202,0,0.0139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,43231,0,0,0,0.0130972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,43302,0,0,0.0162928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,43552,0,0,0,0,0,0,0,0,0,0,0,0,0.0122,0,0,0,0,0,0,0,0
0,45220,0,0,0,0,0,0,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0
0,43350,0,0,0.013608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,43122,0,0,0,0.0106116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,43248,0,0,0,0,0.008505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,43206,0,0,0.0029498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,43503,0,0,0,0,0,0,0,0,0,0,0,0.0084,0,0,0,0,0,0,0,0,0
0,45701,0,0,0,0,0,0,0,0,0.0023147,0,0,0,0,0,0,0,0,0,0,0,0
0,43505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,43802,0,0,0.0008175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,43304,0,0,0,0.0078475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,43404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0073,0,0,0,0
0,45807,0,0,0,0,0,0,0,0,0.0021096,0,0,0,0,0,0,0,0,0,0,0,0
0,43115,0,0,0,0.001131267,0.00559125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,43220,0,0,0,0.0067876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,43432,0,0,0.0028684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,45801,0,0,0,0,0,0,0,0,0.0020803,0,0,0,0,0,0,0,0,0,0,0,0
0,43817,0,0,0.000546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,45102,0,0,0,0,0,0,0,0,0.00175,0.00525,0,0,0,0,0,0,0,0,0,0,0
0,43305,0,0,0,0,0.0069759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,43822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,43218,0,0,0,0,0,0,0,0.0067,0,0,0,0,0,0,0,0,0,0,0,0,0
0,43776,0,0,0,0,0.0067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,43374,0,0,0,0,0.0075306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,45731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,43804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,45203,0,0,0,0,0,0,0,0,0.0065,0,0,0,0,0,0,0,0,0,0,0,0
0,43118,0,0,0.000466956,0.000548972,0.00382954,0,0,8.50393E-05,0.000378575,0.000549039,0,0,0.000107788,0,0,0,0,0,0,0,0
0,43351,0,0,0,0,0.0062682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,43811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,45204,0,0,0,0,0,0,0,0,0,0.0059,0,0,0,0,0,0,0,0,0,0,0
0,43435,0,0,0,0.006235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,43704,0,0,0,0.0058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,43815,0,0,0.0006322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,45205,0,0,0,0,0,0,0,0,0,0.0057,0,0,0,0,0,0,0,0,0,0,0
0,43560,0,0,0,0.0053536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,43453,0,0,0,0,0,0,0.0055,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,43105,0,0,0.0008676,0.004302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,43224,0,0,0,0,0,0,0.0054,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,43238,0,0,0,0,0.005103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
