GRIDCODE,CVENTMUN,Suma de Fpv
9064,20570,0.109000798
9065,20068,0.498776637
9065,20103,0.716180402
9065,20192,1
9065,20530,0.663444284
9068,20131,0.361262032
9068,20475,0.577648688
9083,20010,0.140577286
9084,20005,0.033212579
9084,20010,0.264085945
9085,20005,0.062806954
9099,7017,0.051896173
9100,7017,0.075394409
9100,7046,0.104478504
9101,7046,0.138439139
9102,7046,0.002623545
9102,7061,0.100821428
9103,7061,0.107220227
9106,7101,0.06596598
9107,7086,0.303236044
9107,7101,0.060103382
9108,7027,0.129152038
9109,7002,0.089229622
9109,7027,0.094066729
9110,7002,0.023242893
9113,7078,0.035557059
9114,7078,0.076219446
9114,7094,0.422206676
9119,7052,0.22552354
9136,7114,0.233316063
9375,12021,0.056661392
9376,12021,0.123173089
9377,12021,0.281978443
9378,12021,0.138488815
9379,12001,0.008514138
9379,12021,0.0788179
9380,12001,0.047162272
9381,12001,0.092730039
9382,12001,0.084566818
9384,12053,0.043052359
9385,12053,0.082461926
9385,12056,0.148088696
9386,12056,0.344952508
9387,12056,0.341713015
9388,12012,0.156839632
9388,12056,0.16524578
9389,12012,0.218680065
9402,20037,0.420444279
9402,20073,0.031897557
9403,20073,0.227068921
9406,20026,0.009882845
9406,20500,0.003810534
9407,20026,0.246549075
9407,20500,0.698035391
9417,20115,0.727101784
9417,20243,0.572863371
9417,20369,0.968436032
9417,20565,0.876140616
9420,20551,0.161382483
9421,20298,0.426955948
9421,20475,0.422351312
9421,20551,0.046334906
9422,20226,0.297066936
9422,20298,0.311110601
9423,20226,0.218307207
9436,20010,0.060651019
9436,20427,0.367916939
9436,20513,1
9437,20010,0.534685749
9437,20057,0.078368175
9437,20427,0.119463207
9455,7061,0.070529162
9456,7061,0.163613181
9457,7012,0.10908592
9457,7061,0.178885201
9458,7012,0.675892185
9458,7101,0.000163544
9459,7012,0.047759956
9459,7101,0.34577663
9460,7101,0.306287194
9461,7027,0.248819434
9461,7101,0.022593317
9462,7027,0.152025138
9462,7044,0.27616507
9463,7044,0.097554902
9463,7111,0.477438477
9464,7111,0.376465252
9465,7078,0.29712121
9465,7111,0.021253618
9466,7078,0.367391675
9467,7038,0.409366385
9467,7078,0.151351865
9468,7038,0.330806497
9472,7004,0.063853386
9472,7052,0.059815902
9473,7004,0.240190645
9473,7024,1
9473,7052,0.051061528
9488,7059,0.047972879
9489,7059,0.002132088
9489,7114,0.766683937
9727,12011,0.135688019
9727,12021,0.001216862
9728,12021,0.087098188
9730,12021,0.014887077
9733,12001,0.000887149
9734,12001,0.04589938
9735,12001,0.042765092
9736,12001,0.051895614
9737,12039,0.193792892
9737,12053,0.044709675
9756,20073,0.285862519
9760,20026,0.711150003
9769,20023,1
9769,20342,1
9769,20385,0.010842291
9769,20565,0.070399664
9770,20083,1
9770,20107,0.976496762
9770,20115,0.272898216
9770,20174,1
9770,20385,0.725257336
9770,20403,1
9770,20565,0.053459719
9771,20078,1
9771,20145,0.726535284
9771,20343,1
9771,20349,1
9771,20409,0.085315718
9771,20411,1
9772,20145,0.09278431
9772,20197,1
9772,20546,1.000000001
9772,20550,0.999999999
9772,20551,0.074244529
9773,20356,1
9773,20551,0.718038082
9773,20560,1
9775,20226,0.265264207
9775,20298,0.004298526
9776,20226,0.21936165
9776,20298,0.257634924
9776,20337,0.119023857
9777,20337,0.555377704
9789,20198,0.029602725
9790,20057,0.081309314
9790,20198,0.046622639
9790,20427,0.512619854
9809,7061,0.12772517
9810,7012,0.102114797
9810,7061,0.016856882
9811,7012,0.053920512
9812,7012,0.009788329
9812,7079,0.379438927
9812,7101,0.038940445
9813,7101,0.160169508
9815,7044,0.514930713
9817,7111,0.03703152
9818,7023,0.281096735
9818,7078,0.052873954
9818,7111,0.087811133
9819,7023,0.213504891
9819,7078,0.019484791
9819,7093,0.022263441
9820,7023,0.00577423
9820,7093,0.977736559
9821,7038,0.259827118
9821,7064,0.073363553
9822,7064,0.452551625
9824,7004,0.044489878
9824,7059,0.044888051
9824,7064,0.028748152
9825,7004,0.607728424
9826,7004,0.043737666
9839,7059,0.029354274
9840,7059,0.063299395
9841,7059,0.018178078
10077,12014,0.010967116
10077,12057,0.171743033
10078,12011,0.014112608
10078,12014,0.709386984
10078,12057,0.002913814
10079,12011,0.249050201
10079,12014,0.251923483
10080,12011,0.082823927
10080,12014,0.027722417
10088,12001,0.038072967
10089,12001,0.038651536
10089,12039,0.457814706
10090,12039,0.271131181
10109,20073,0.219297501
10109,20469,0.017280329
10113,20026,0.032418077
10113,20252,0.222960186
10113,20320,1
10113,20371,1
10113,20445,0.700264415
10122,20067,0.229929601
10122,20385,0.052570881
10122,20399,1
10123,20067,0.694875221
10123,20087,0.308825604
10123,20107,0.023503238
10123,20350,0.714579877
10123,20375,1
10123,20385,0.211329493
10123,20390,1
10124,20087,0.691174396
10124,20091,1
10124,20145,0.180680406
10124,20350,0.285420123
10124,20409,0.914684282
10124,20519,1
10124,20553,0.694146518
10130,20337,0.325598439
10142,20198,0.017498273
10143,20198,0.286259102
10162,7012,0.001438301
10162,7061,0.033132289
10165,7063,0.286718443
10165,7079,0.476328446
10166,7029,0.164744715
10166,7063,0.396352454
10166,7079,0.144232627
10168,7013,0.173810801
10168,7044,0.111349316
10168,7085,1
10170,7023,0.018609589
10170,7049,0.480135986
10171,7023,0.481014555
10171,7026,0.157073228
10171,7056,1
10175,7064,0.104825249
10176,7059,0.02385864
10176,7064,0.34051142
10177,7059,0.086653371
10178,7059,0.040169272
10189,7059,0.008616202
10190,7059,0.051438852
10191,7059,0.114843865
10192,7059,0.046005709
10425,12057,0.113707044
10426,12057,0.113610354
10427,12057,0.134877497
10428,12057,0.12019394
10429,12057,0.130448159
10430,12057,0.078462632
10432,12011,0.190631618
10433,12011,0.199925639
10434,12011,0.058901835
10442,12039,0.022790802
10443,12029,0.162492807
10443,12039,0.054470417
10461,20469,0.290838131
10462,20073,0.119794038
10462,20240,1
10462,20469,0.277491646
10463,20073,0.116079463
10463,20397,0.263570708
10464,20397,0.222719584
10466,20050,0.091738405
10466,20086,1
10466,20252,0.777039815
10466,20445,0.299735585
10474,20063,1
10474,20102,0.698834596
10474,20539,0.494162244
10475,20033,1
10475,20067,0.075195179
10475,20077,0.127532353
10475,20084,1
10475,20102,0.083716267
10475,20227,1.000000001
10475,20293,1
10475,20338,0.517080006
10475,20539,0.505837756
10477,20363,0.259076495
10477,20553,0.305853481
10496,20057,0.0250058
10496,20198,0.255377132
10497,20057,0.156756515
10497,20198,0.070085032
10518,7021,0.038881338
10518,7029,0.581509179
10519,7029,0.253746107
10519,7063,0.316929103
10521,7013,0.505195362
10522,7013,0.272852671
10522,7014,0.252516883
10522,7049,0.138933595
10523,7014,0.050896799
10523,7049,0.380930418
10524,7022,0.152030328
10524,7026,0.168861633
10525,7022,0.847969672
10525,7026,0.562678258
10526,7026,0.10411608
10530,7059,0.02261661
10531,7059,0.044807328
10541,7059,0.027992305
10542,7059,0.063765631
10543,7059,0.02698972
10545,7059,0.025746268
10777,12048,0.018629755
10778,12048,0.00370865
10778,12057,0.12585551
10787,12011,0.068866153
10796,12029,0.190907601
10796,12044,0.037360588
10814,20469,0.294660122
10817,20397,0.161293003
10818,20050,0.194665282
10818,20397,0.26188116
10819,20050,0.713596313
10825,20094,1
10825,20161,0.070624406
10825,20487,0.274243257
10826,20150,0.02960759
10826,20294,0.363704963
10826,20487,0.388696174
10827,20045,0.077882134
10827,20102,0.217449137
10827,20294,0.433898953
10827,20483,1
10828,20045,0.922117866
10828,20077,0.872467647
10828,20178,1
10828,20193,1
10828,20338,0.482919994
10830,20363,0.172961688
10831,20363,0.2408363
10832,20496,0.103813304
10833,20496,0.01899008
10834,20473,0.506149326
10846,20207,0.079953701
10847,20057,0.02968506
10847,20198,0.146178803
10847,20207,0.094253097
10848,20057,0.177032917
10848,20198,0.148376294
10849,20057,0.02523435
10870,7021,0.431258354
10871,7021,0.311936089
10874,7047,0.171701277
10875,7013,0.048141165
10875,7014,0.100417495
10875,7047,0.41425999
10876,7014,0.574671653
10879,7026,0.0072708
10882,7031,0.023406213
10883,7031,0.205081209
10883,7059,0.010165607
10884,7031,0.025200629
10884,7059,0.00835176
10893,7059,0.020400564
10894,7059,0.061354574
11129,12048,0.245780246
11130,12048,0.192786523
11131,12048,0.024781055
11131,12057,0.008188013
11149,12029,0.174467096
11152,12051,0.370499896
11153,12051,0.369206985
11166,20348,0.84308313
11166,20469,0.025658479
11167,20469,0.094071293
11171,20239,0.356479258
11171,20397,0.090535545
11171,20408,1
11176,20046,0.87078623
11176,20054,0.510829329
11177,20006,0.173468112
11177,20046,0.127651751
11177,20161,0.247474015
11177,20569,1
11178,20161,0.502539464
11178,20487,0.245846893
11179,20150,0.511402707
11179,20294,0.092885316
11179,20487,0.091213677
11180,20150,0.085298681
11180,20294,0.109510769
11184,20035,1
11184,20042,0.496133045
11184,20191,1
11184,20363,0.327125518
11184,20419,0.029564783
11185,20042,0.503866956
11185,20062,1
11185,20247,1
11185,20496,0.474393497
11186,20442,1
11186,20473,0.403361229
11186,20496,0.402803119
11187,20473,0.090489446
11199,20057,0.101735827
11199,20207,0.321312665
11201,20057,0.06720789
11202,20057,0.104772179
11219,7092,0.098540209
11222,7021,0.125689371
11222,7092,0.245450455
11223,7021,0.092234848
11227,7047,0.414038733
11227,7072,0.324227442
11229,7014,0.021497169
11229,7039,0.401988343
11229,7081,1
11234,7031,0.064899549
11235,7031,0.14902107
11236,7031,0.140766972
11245,7059,0.031982835
11246,7059,0.053625565
11481,12048,0.186429323
11482,12048,0.015557871
11502,12029,0.188367987
11503,12029,0.030266403
11503,12044,0.286613513
11503,12061,0.0138893
11504,12044,0.676025899
11504,12051,0.120275648
11505,12051,0.14001747
11519,20286,0.348559907
11519,20348,0.15691687
11520,20286,0.489370232
11524,20239,0.643520742
11524,20317,0.612407939
11525,20317,0.387592061
11525,20499,0.446483362
11527,20332,0.585625021
11528,20140,1
11528,20215,0.945720353
11528,20332,0.414374979
11528,20493,0.239057799
11529,20006,0.393784419
11529,20046,0.001562019
11529,20054,0.489170671
11530,20006,0.170015597
11532,20150,0.36784036
11532,20478,0.029492983
11537,20173,0.390968774
11537,20196,1
11537,20419,0.970435217
11551,20190,0.136542068
11551,20207,0.390003816
11552,20207,0.114476721
11554,20057,0.106761625
11554,30091,0.026193392
11555,20057,0.046130348
11555,30091,0.10689895
11572,7092,0.323363021
11578,7091,0.112988851
11579,7072,0.260158158
11579,7073,1
11579,7091,0.546661293
11580,7072,0.4156144
11582,7039,0.58861923
11583,7039,0.009392427
11586,7096,0.190946157
11586,7100,0.210982549
11586,7109,0.24820387
11587,7031,0.024860195
11587,7109,0.75179613
11589,7031,0.172654217
11597,7065,0.032673385
11598,7059,0.011811513
11598,7065,0.031903348
11832,12038,0.055726118
11833,12038,0.011671311
11833,12048,0.185276905
11834,12048,0.127049671
11854,12029,0.021615988
11855,12029,0.18257365
11856,12029,0.008294275
11856,12061,0.299969393
11857,12061,0.134522745
11858,12028,0.159328908
11858,12061,0.106508059
11859,12028,0.015665686
11860,12028,0.134638867
11861,12010,0.160484208
11861,12028,0.014717594
11862,12010,0.390654
11863,12010,0.188881001
11863,12066,0.091995504
11864,12066,0.171562148
11865,12066,0.304999685
11866,12066,0.166083012
11871,20537,0.470221336
11872,20065,1.000000001
11872,20081,0.211256662
11872,20286,0.162069861
11872,20537,0.529778663
11878,20339,0.388525494
11878,20499,0.553516638
11879,20221,0.18351899
11879,20339,0.611474506
11880,20523,0.591974946
11881,20006,0.204720314
11881,20096,0.999999999
11881,20215,0.054279647
11881,20224,1
11881,20404,0.245366967
11881,20493,0.760942201
11881,20523,0.040178382
11882,20006,0.058011558
11885,20150,0.005850662
11885,20161,0.179362115
11885,20478,0.324403069
11890,20173,0.609031226
11890,20296,0.432148068
11903,20190,0.33391653
11903,20498,0.217838333
11904,20190,0.529541401
11907,30091,0.322347866
11908,30091,0.109063722
11925,7092,0.28964006
11931,7042,0.02441848
11931,7091,0.300464848
11932,7042,0.975581519
11932,7084,0.172418324
11932,7091,0.039885009
11938,7096,0.369432594
11939,7096,0.439621249
11939,7100,0.546153513
11940,7100,0.242863938
11942,7031,0.101010531
11943,7031,0.093099415
11943,7077,0.057982309
11948,7065,0.010845702
11949,7059,0.005065223
