GRIDCODE,CVENTMUN,Fpv,LONG_CARRETERA TOTAL x MUNICIPIO x NO. DE CARRILES (m),LONG_CARR_x_CELDA x CARRILES
3113,7071,0.273808957,35383.56155,9688.336075
3114,7071,0.039807372,35383.56155,1408.526583
3114,7071,0.079941134,35383.56155,2828.602041
3115,7040,0.001051531,39979.95918,42.04017515
3115,7103,0.132070883,60538.67862,7995.396756
3115,7057,0.123087641,103913.9026,12790.51716
3116,7057,0.008743866,103913.9026,908.6092478
3464,7001,0.085513095,41706.7527,3566.473498
3464,7001,0.10374704,41706.7527,4326.952137
3464,7001,0.090967687,41706.7527,3793.966834
3464,7001,0.036117787,41706.7527,1506.35563
3464,7003,0.007343023,36775.51259,270.0434427
3464,7001,0.027315646,41706.7527,1139.246884
3464,7003,0.008046071,36775.51259,295.8983994
3464,7001,0.022972525,41706.7527,958.1094336
3464,7003,0.065565494,36775.51259,2411.204653
3465,7003,0.047802774,36775.51259,1757.971502
3465,7032,0.022401873,82936.51922,1857.933349
3465,7032,0.052726503,82936.51922,4372.952608
3465,7032,0.016578938,82936.51922,1374.999424
3465,7032,0.037986446,82936.51922,3150.463626
3465,7001,0.092187658,41706.7527,3844.847874
3465,7032,0.057894982,82936.51922,4801.608295
3465,7032,0.071557172,82936.51922,5934.702762
3465,7032,0.065251681,82936.51922,5411.747319
3465,7001,0.15108268,41706.7527,6301.167973
3465,7032,0.019071001,82936.51922,1581.682472
3465,7001,0.390095881,41706.7527,16269.63244
3466,7032,0.266124435,82936.51922,22071.43429
3466,7032,0.03758399,82936.51922,3117.085277
3467,7032,0.036324044,82936.51922,3012.58979
3469,7057,0.059387491,103913.9026,6171.185991
3469,7057,0.227759384,103913.9026,23667.36644
3470,7057,0.073696289,103913.9026,7658.069018
3470,7057,0.052808575,103913.9026,5487.545141
3470,7057,0.06025073,103913.9026,6260.888473
3815,7051,0.060693728,79599.12978,4831.167946
3815,7051,0.1588562,79599.12978,12644.81526
3815,7051,0.014835183,79599.12978,1180.867636
3816,7051,0.152203779,79599.12978,12115.28834
3816,7051,0.054215342,79599.12978,4315.494009
3816,7051,0.048709829,79599.12978,3877.260015
3816,7003,0.131692257,36775.51259,4843.050256
3816,7051,0.090172797,79599.12978,7177.676209
3817,7003,0.562995296,36775.51259,20704.44061
3817,7051,0.009928361,79599.12978,790.2888671
3822,7070,0.057592827,29691.4966,1710.017241
3822,7057,0.221803019,103913.9026,23048.41731
3823,7057,0.068697542,103913.9026,7138.629658
3823,7057,0.054608025,103913.9026,5674.533032
3823,7053,0.012229449,18529.0397,226.5999464
3823,7057,0.049157437,103913.9026,5108.141126
3824,7006,0.048186751,60610.21205,2920.609186
3824,7053,0.987770551,18529.0397,18302.43975
4122,20439,0.021352968,100777.4441,2151.897547
4122,20439,0.061333441,100777.4441,6181.027391
4123,20439,0.170348864,100777.4441,17167.32314
4124,20439,0.060464289,100777.4441,6093.436521
4124,20439,0.06933896,100777.4441,6987.803177
4124,20439,0.057548487,100777.4441,5799.589443
4124,20439,0.145569375,100777.4441,14670.10957
4125,20439,0.016198856,100777.4441,1632.479292
4125,20324,0.124559091,105544.8787,13146.57414
4125,20324,0.013735031,105544.8787,1449.662147
4125,20324,0.071189251,105544.8787,7513.660845
4125,20439,0.07889518,100777.4441,7950.854595
4126,20324,0.112809052,105544.8787,11906.41776
4167,7069,0.112115898,239659.0121,26869.58527
4167,7051,0.015074304,79599.12978,1199.90148
4168,7051,0.122874662,79599.12978,9780.716162
4168,7051,0.272435816,79599.12978,21685.65386
4175,7080,0.059014916,26248.43295,1549.049079
4175,7070,0.007760425,29691.4966,230.4186456
4175,7080,0.259168016,26248.43295,6802.754293
4175,7070,0.121435215,29691.4966,3605.593286
4175,7080,0.190007914,26248.43295,4987.409985
4176,7070,0.165692468,29691.4966,4919.65735
4176,7080,0.304966612,26248.43295,8004.895658
4176,7070,0.070100189,29691.4966,2081.37952
4176,7070,0.541002952,29691.4966,16063.18731
4176,7070,0.036415923,29691.4966,1081.243252
4176,7036,1,1612.979626,1612.979626
4177,7006,0.011487213,60610.21205,696.2424331
4178,7006,0.094598688,60610.21205,5733.646527
4178,7006,0.295580755,60610.21205,17915.21223
4472,20401,0.150243855,81622.18931,12263.23239
4473,20401,0.236146742,81622.18931,19274.81411
4474,20401,0.014606092,81622.18931,1192.181205
4474,20439,0.116399654,100777.4441,11730.45963
4474,20401,0.093337045,81622.18931,7618.373994
4475,20439,0.098982313,100777.4441,9975.184546
4476,20439,0.0152075,100777.4441,1532.572966
4478,20439,0.014882907,100777.4441,1499.861362
4478,20324,0.068436409,105544.8787,7223.112478
4478,20439,0.073477205,100777.4441,7404.844928
