CVENTMUN,SCC,PM10,PM2.5,NOx,SO2,CO,VOC,NH3,CN,CO2,CH4
13013,2230074330,0.526642985,0.540154569,9.479072051,0.763949675,2.409016652,0.260076937,0.006957528,0.25445986,109.1284544,0.009044887
13013,2230075330,0.869927994,1.024657329,10.2219311,1.113944316,4.137898834,0.343475825,0.006962921,0.482702869,187.4468172,0.011945311
13014,2201001330,0.134737715,0.081486363,1.163347477,0.203825658,3.680163686,0.352750986,0.052246443,0.024103576,166.711415,0.01226788
13014,2201020330,0.177632354,0.113696311,1.705552192,0.325170229,6.534909167,0.634433846,0.061097802,0.033631243,296.0313853,0.022064172
13014,2201040330,0.03149579,0.021133972,0.245747565,0.069545371,1.312653151,0.114101526,0.009696233,0.006251402,59.46318773,0.003968193
13014,2230073330,0.106822804,0.128294541,0.593832294,0.046078327,0.090529492,0.014800982,0.00052851,0.060437905,4.100985999,0.000514745
13014,2230074330,0.03626285,0.041109465,0.467936595,0.028644076,0.060252054,0.008000471,0.000235929,0.019366142,2.729418049,0.000278238
13014,2230075330,0.100354548,0.122685246,0.370244524,0.035813317,0.06526385,0.010065658,0.000210395,0.05779544,2.95645241,0.000350061
13015,2201001330,0.345274762,0.208872749,3.515301562,0.522277034,10.11451305,0.821934487,0.133839998,0.061784335,458.1874413,0.02858502
13015,2201020330,0.559427197,0.358522425,6.949477336,1.022079033,23.69748122,1.89318993,0.1919187,0.106050538,1073.495899,0.065840858
13015,2201040330,0.096859068,0.065023057,0.956845551,0.21405017,4.583855255,0.334878347,0.029796852,0.019233752,207.6486431,0.01164631
13015,2201070330,0.002493033,0.002215056,0.013809495,0.001291323,0.210990298,0.008059955,4.16923E-05,0.00065521,9.557860515,0.000280307
13015,2230072330,0.031744492,0.030193142,0.643945335,0.080868231,0.036977537,0.02639149,0.001203976,0.014223604,1.675082425,0.000917836
13015,2230073330,0.381660054,0.456294302,2.424810308,0.190323802,0.813897222,0.114594131,0.002163106,0.214954372,36.86954414,0.003985324
13015,2230074330,0.240397778,0.246590854,4.31329439,0.348414486,1.087385302,0.117928054,0.003174354,0.116165778,49.2585542,0.004101271
13015,2230075330,0.068161233,0.083476781,0.2468864,0.021450666,0.115894039,0.013861766,0.000123373,0.039324839,5.249999983,0.000482081
13016,2201001330,2.213392369,1.339030265,22.69945096,3.347744139,64.93797043,5.273861572,0.857913652,0.396083659,2941.690061,0.183412961
13016,2201020330,2.0396548,1.299603365,24.91988706,3.750344678,81.77254339,6.496539177,0.708267274,0.38442126,3704.296215,0.225934919
13016,2201040330,0.317448014,0.213365645,3.123164308,0.700409924,15.09516205,1.100990005,0.097363368,0.063113322,683.810841,0.038289939
13016,2201070330,0.009673479,0.008550524,0.070159629,0.00735244,0.719339523,0.029110762,0.000250523,0.002529237,32.58608038,0.001012406
13016,2201080330,0.068952623,0.051423107,0.190842674,0.033424837,2.145966147,0.309732871,0.001977948,0.015210898,97.21226644,0.010771808
13016,2230072330,0.128133385,0.121565922,2.639635915,0.330030681,0.14995504,0.107987949,0.004899465,0.057268145,6.792963315,0.003755576
13016,2230073330,1.288584715,1.541756439,8.022021683,0.626742561,2.726002245,0.380838436,0.007146764,0.726301592,123.4879017,0.013244698
13016,2230074330,0.932657966,0.958691337,16.5977999,1.339369888,4.226947721,0.455913039,0.012190811,0.451627152,191.4807318,0.015855623
13016,2230075330,0.901918243,1.060465111,10.94863455,1.193588703,4.427015504,0.364498158,0.007466717,0.499571454,200.5438023,0.01267642
13017,2201001330,0.33879765,0.204987716,3.454154973,0.512440563,10.01281984,0.816350983,0.131302283,0.060635146,453.5807388,0.028390838
13017,2201020330,0.43349841,0.277214395,5.355680614,0.793608216,18.00793383,1.436793003,0.149398425,0.081999713,815.7594026,0.049968407
13017,2201040330,0.07220024,0.048696114,0.708028044,0.15845997,3.504678138,0.25511115,0.021946532,0.014404265,158.7619196,0.008872188
13017,2201070330,0.002493033,0.002215056,0.013809495,0.001291323,0.210990298,0.008059955,4.16923E-05,0.00065521,9.557860515,0.000280307
13017,2201080330,0.00126669,0.000944665,0.003505864,0.000614029,0.03285342,0.003231281,3.63358E-05,2.79E-04,1.488259903,0.000112377
13017,2230072330,0.027972791,0.026667342,0.563776637,0.070750691,0.03261677,0.023134117,0.001053345,0.012562647,1.477539671,0.000804552
13017,2230073330,0.275347294,0.330365229,1.618759983,0.12296913,0.579371714,0.079205475,0.0014056,0.155630809,26.24553864,0.002754587
