kg,PM10,PM2.5,NOx,SO2,CO,VOC, NH3,CN, CO2,CH4
8022,0.001748087,0.001812843,0.001816862,0.001761494,0.001853101,0.001780778,0.00144923,0.001858631,0.001853101,0.001780778
8023,0.001954468,0.001965814,0.002088786,0.002044778,0.002203577,0.002117449,0.001772385,0.001976942,0.002203577,0.002117449
8024,0.002638417,0.002647808,0.002779856,0.002716939,0.002927001,0.002819624,0.002457708,0.00265808,0.002927001,0.002819624
8025,0.002969848,0.002961407,0.003118967,0.00305846,0.003349804,0.003218689,0.00282822,0.002956726,0.003349804,0.003218689
8026,0.002042647,0.002161677,0.002119264,0.002048047,0.002061379,0.001976401,0.001612111,0.002243714,0.002061379,0.001976401
8027,0.004793591,0.00489284,0.005062734,0.004899591,0.00521644,0.005017626,0.004212576,0.004964458,0.00521644,0.005017626
8028,0.004813775,0.004878067,0.00478662,0.004774281,0.004561134,0.004673265,0.004625745,0.00492161,0.004561134,0.004673265
8029,0.003240315,0.003339044,0.003428826,0.003312327,0.003534413,0.003395721,0.002738743,0.00340522,0.003534413,0.003395721
8030,0.00067552,0.000710132,0.000637786,0.000633479,0.000746485,0.000711949,0.000568927,0.000725106,0.000746485,0.000711949
8031,0.009199227,0.00929121,0.009641806,0.009405519,0.010130006,0.009751768,0.008409001,0.009360057,0.010130006,0.009751768
8032,0.036309757,0.036615016,0.036762769,0.03636759,0.038125399,0.037097324,0.034651236,0.036797504,0.038125399,0.037097324
8034,0.002401874,0.002440322,0.002550196,0.002475823,0.002661702,0.002559748,0.002129989,0.00246815,0.002661702,0.002559748
8035,0.004014677,0.004105331,0.004172025,0.00406831,0.004419906,0.004250432,0.003535225,0.004160692,0.004419906,0.004250432
8036,0.010261954,0.010178683,0.010492889,0.010450576,0.010424057,0.010697021,0.010112451,0.010126432,0.010424057,0.010697021
8037,0.358227912,0.361707694,0.347761096,0.351104842,0.318139745,0.329601367,0.365793101,0.36420427,0.318139745,0.329601367
8038,0.002591791,0.002695814,0.002666554,0.002604363,0.002446334,0.00249557,0.002170477,0.002766281,0.002446334,0.00249557
8039,0.001478792,0.001499837,0.001501669,0.001479694,0.001614932,0.001550006,0.001354622,0.0015123,0.001614932,0.001550006
8040,0.007335709,0.007418668,0.00773038,0.007533575,0.008127661,0.007822303,0.006643876,0.007478306,0.008127661,0.007822303
8042,0.000611895,0.000617055,0.000612071,0.000619836,0.000681408,0.000689347,0.000568371,0.000613975,0.000681408,0.000689347
8043,0.001153147,0.001156034,0.00119857,0.001184692,0.001350047,0.001289541,0.001077937,0.001152824,0.001350047,0.001289541
8044,0.001845256,0.001848686,0.001976326,0.001940539,0.002083575,0.002000731,0.001688887,0.001855634,0.002083575,0.002000731
8045,0.01555952,0.015371823,0.016067279,0.016002273,0.016055133,0.016454889,0.015353743,0.015255667,0.016055133,0.016454889
8046,0.000569892,0.000574174,0.000578892,0.000581462,0.000631992,0.000638524,0.000525584,0.000572037,0.000631992,0.000638524
8047,0.000894263,0.000907603,0.000906586,0.000904705,0.000949736,0.000960776,0.000806512,0.000910564,0.000949736,0.000960776
8048,0.009187123,0.009334272,0.009689784,0.009426254,0.010064951,0.009681543,0.008230079,0.009440286,0.010064951,0.009681542
8049,0.000611895,0.000617055,0.000618483,0.000619836,0.000741678,0.000705633,0.000568371,0.000613975,0.000741678,0.000705633
8050,0.02022528,0.020407634,0.020959649,0.020600686,0.021670048,0.020914734,0.019021221,0.02054592,0.021670048,0.020914734
8051,0.001391763,0.001416237,0.001482523,0.001441651,0.001548649,0.001485111,0.001214781,0.001434449,0.001548649,0.001485111
8052,0.009103185,0.009162765,0.009383673,0.009276641,0.009058707,0.009268709,0.008538833,0.009211062,0.009058707,0.009268709
8053,0.002315125,0.002294421,0.002326862,0.002341581,0.002349098,0.002401899,0.002293538,0.002282192,0.002349098,0.002401899
