Estado,SCC,PM10,PM25,NO2,NO,SO2 ,CO ,VOC,NH3 ,CN,CO2,CH4,GSO4,OTHER,POA
4,2230070000,51337,47233,99219,419224,19155,146191,23745,904,13661,68728901,9354,31064,746,1827
4,2230070000,123348,113479,225331,1133380,46604,373410,56477,2134,41502,166195952,18378,64616,1900,5360
5,2201080000,10849,9598,17817,378904,24389,9690096,769127,18410,1311,147335108,16930,882,750,5232
5,2201001000,43931,38859,729560,6180677,141721,47776293,3655241,61000,5295,856090542,85886,3639,8139,21148
5,2230001000,52,45,283,2597,158,19887,1204,12,0,553220,83,25,0,11
5,2201070000,41978,37133,831226,6547558,143819,48948731,3461768,51574,5062,868753955,108741,3480,6608,20209
5,2230060000,3923,3608,5553,32831,1660,114451,9898,179,1069,5855889,1131,2251,36,208
5,2201020000,1441,1272,28174,226938,4945,1701048,123387,1816,174,29877474,4116,123,236,690
5,2230060000,125,115,177,1123,52,3430,302,0,41,196832,36,65,0,3
5,2201070000,8899,7870,16772,214787,8654,2535574,138687,1327,1074,52260125,4914,745,649,4278
5,2230070000,74936,68944,125439,830433,22741,317838,49589,1139,31958,80286803,7880,29774,813,5239
5,2201040000,3433,3038,30734,295876,12589,2853335,166636,2806,417,76037975,6380,284,798,1651
5,2230060000,162269,149290,209638,893103,36765,420079,100631,2823,20980,131492615,34163,116314,1817,8733
5,2201070000,230,204,1707,16293,702,141558,8737,170,26,4228618,270,13,48,112
5,2230060000,9950,9152,11538,49907,2039,23714,5863,170,1234,7290804,1945,7113,118,586
5,2230070000,121560,111832,253131,1069512,43978,346138,56216,2140,32346,157792178,22176,73549,1775,4327
5,2230070000,292057,268691,574854,2891469,107066,884133,133485,5052,98266,381791314,43536,152999,4487,12687
6,2201080000,34409,30439,63308,1346488,72998,29160790,2311466,55073,4153,440958302,50556,2803,2246,16595
6,2201001000,159641,141224,2431710,20010031,418025,105582103,10679430,182478,19241,2525144243,209603,13244,24351,76846
6,2230001000,72,63,892,8146,15,54900,3674,30,5,1624652,282,3,10,34
6,2201070000,153548,135831,2771306,21077882,424280,103544699,9439397,154286,18507,2562916078,260316,12744,19770,73914
6,2230060000,4809,4426,17505,103095,147,316119,29790,528,3199,17198281,3463,363,104,626
6,2201020000,5267,4658,93852,729567,14600,3712233,335500,5424,632,88192947,10126,436,696,2538
6,2230060000,180,167,553,3518,0,9457,915,17,123,578228,112,11,0,22
6,2201070000,33732,29841,59432,757435,25381,7645440,404818,3973,4065,153320162,14999,2826,1946,16220
6,2230070000,132680,122067,422892,2799664,1999,950788,149858,3419,95600,235253141,23929,4905,2432,15673
6,2201040000,12383,10956,108633,1031331,36789,8633641,493913,8392,1490,222223514,19927,1028,2396,5962
6,2230060000,127472,117267,706423,3009496,3220,1256623,307341,8440,62769,383689078,103637,18630,5428,26123
6,2201070000,843,745,6038,57288,2044,427538,25804,498,102,12343348,837,70,149,403
6,2230060000,7875,7244,38896,168225,178,70941,17736,503,3694,21256003,5865,1138,352,1751
6,2230070000,137233,126252,853401,3605684,3861,1035443,169640,6399,96768,461858591,66735,11724,5308,12944
6,2230070000,402879,370651,1938046,9748034,9408,2644816,400054,15119,293952,1117889306,130556,24558,13426,37956
7,2201080000,18888,16707,29244,621959,41317,16455092,1352358,31177,2280,249569064,28582,1537,1275,9108
7,2201001000,81819,72380,1199855,10228873,241662,47262974,6252843,103310,9861,1459784192,117722,6784,13785,39387
7,2230001000,36,33,473,4339,1,24784,2071,16,0,941802,150,0,0,18
7,2201070000,78440,69391,1357456,10634118,245126,46643529,5541637,87352,9453,1480719767,146117,6503,11196,37760
7,2230060000,2720,2504,9251,54722,85,151212,16984,299,1812,9964461,1970,203,57,355
7,2201020000,2691,2379,46047,369403,8431,1578957,196587,3070,326,50935898,5684,224,390,1295
7,2230060000,103,93,295,1869,0,4572,521,7,70,334968,63,6,0,13
7,2201070000,16938,14982,27550,353568,14716,3563766,238147,2249,2038,88900154,8397,1423,1104,8144
7,2230070000,75118,69108,207869,1376151,1161,497945,84448,1935,54123,136529664,13437,2780,1378,8870
7,2201040000,6372,5634,50485,487952,21437,3362227,290141,4748,768,129492888,11002,532,1361,3064
7,2230060000,72167,66393,347447,1480183,1875,634794,172192,4777,35538,223835246,58246,10547,3073,14789
7,2201070000,429,384,2797,26815,1191,187669,15187,281,54,7199425,465,37,80,209
7,2230060000,4459,4101,19122,82707,105,37324,9988,282,2092,12410050,3306,644,198,994
7,2230070000,77694,71476,419480,1772374,2243,555161,95704,3622,54783,268338017,37664,6640,3008,7327
7,2230070000,228092,209843,952634,4791698,5461,1460247,226539,8559,166425,649180944,73817,13905,7598,21487
8,2201080000,5429,4799,8536,181577,12193,4845886,395938,9228,657,73835719,8484,445,375,2618
8,2201001000,29390,25997,360930,3067522,69451,19271406,1917049,30573,5555,433950387,43354,1920,4081,13354
8,2230001000,35,32,141,1301,75,7653,603,0,0,280656,40,15,0,4
8,2201070000,27498,24324,410544,3242324,70780,20038080,1801328,25850,5082,440207674,54823,1826,3316,12535
8,2230060000,2115,1946,2800,16568,819,46555,4995,84,580,2969751,573,1189,10,125
8,2201020000,962,856,13922,112429,2429,664500,64157,910,183,15137867,2074,62,119,439
8,2230060000,70,63,84,565,27,1410,152,0,23,99817,19,35,0,0
8,2201070000,4531,4009,8045,103194,4368,1048512,71281,667,573,26511291,2459,372,325,2169
8,2230070000,53416,49141,61011,403904,11495,147361,24835,573,17789,40740952,3939,24354,405,5087
8,2201040000,2015,1782,14754,142622,6357,989901,86413,1410,326,38671138,3184,146,404,935
8,2230060000,129584,119218,101989,434501,18573,187858,50328,1415,13066,66896959,17098,94659,907,8366
8,2201070000,125,107,817,7834,356,55252,4523,81,11,2151283,134,5,22,60
8,2230060000,7941,7306,5614,24279,1035,11044,2934,81,757,3710394,970,5777,57,563
8,2230070000,93540,86058,123119,520181,22292,164293,28167,1072,20772,80110183,11105,59651,890,4102
8,2230070000,218290,200827,279593,1406311,54309,432138,66945,2531,60054,193785057,21812,124096,2246,12134
9,2201080000,87500,77401,101517,2130713,23251,77715055,4832679,151701,11282,1214879341,99074,2357,6188,45062
9,2201001000,395777,350116,2673998,26883823,131295,222019488,23798082,502683,51009,6860342490,432493,10844,67072,203720
9,2230001000,190,177,2243,20567,36,142312,10077,85,23,4409596,779,10,39,97
9,2201070000,380281,336401,3759548,33139602,133304,239385242,20884051,425024,49010,6965208344,574921,10420,54469,195742
9,2230060000,13247,12189,42393,250695,398,819858,81237,1460,8816,46697887,9394,998,286,1726
9,2201020000,13040,11537,130742,1175900,4588,8583737,756560,14941,1681,239703376,22349,358,1919,6708
9,2230060000,496,459,1347,8543,16,24482,2486,46,333,1570096,302,27,0,69
9,2201070000,83025,73446,116875,1532169,7961,17794532,897377,10942,10698,416084876,33101,2299,5365,42723
9,2230070000,365504,336263,1061101,7024789,5424,2619231,412577,9411,263354,638295223,65931,13510,6703,43173
9,2201040000,30749,27202,212065,2055510,11505,23186473,1163299,23121,3962,601067983,45456,846,6616,15825
9,2230060000,351158,323064,1773307,7554582,8704,3461872,846352,23248,172913,1037528411,285524,51319,14957,71971
9,2201070000,2091,1849,11779,113882,638,1163311,58897,1377,268,33377463,1885,58,418,1074
